NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Pz, An Object Oriented Environment For Scientific Programming","1997","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",0,
"COMPLETO","Uma Tecnica Elemento Por Elemento Livre de Matrizes Para A Avaliacao de Residuos","1995","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1,
"COMPLETO","On The Convergence Rate Of An Adaptive Grid Pattern For Resolving Point Singularities In Elliptic Problems","1992","","Inglês","NAO_INFORMADO","","NAO","","","NAO",2,
"COMPLETO","An Object Oriented Approach To Finite Element Programming (Phase 1) A System Independent Windowiong Environment For Developing Interactive Scientific Programs","1992","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",3,
"COMPLETO","Discretization Modeling Error For A Class Of Beam Elements","1991","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",4,
"COMPLETO","Object Oriented Programming In Scientific Computing, The Begining Of Anew Era.","1991","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",5,
"COMPLETO","A Three-Dimensional Adaptive Finite Element Strategy","1991","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",6,
"COMPLETO","An H-P Adaptive Finite Element Method For The Numerical Simulation Of Compressible Flow.","1988","","Inglês","IMPRESSO","","NAO","","","NAO",7,
"COMPLETO","Implementation Of An Adaptive Refinement Technique For The Supg Algorithm","1987","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",8,
"COMPLETO","On An H-Type Mesh Refinement Strategy Based On Minimisation Of Interpolation Errors.","1986","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",9,
"COMPLETO","A Moving-Grid Finite Element Algorithm For Supersonic Flow Interaction Between Moving Bodies.","1986","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",10,
"COMPLETO","A Vectorized Version Of A Sparse Matrix Vector Multiply.","1986","Brasil","Inglês","NAO_INFORMADO","","NAO","","","NAO",11,
"COMPLETO","An Object Oriented Approach To Finite Element Programming","1991","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",12,
"COMPLETO","Adaptive Finite Element Methods For The Analysis Of Inviscid Compressible Flow: 1 Fast Refinement/Unrefinement And Moving Mesh Methods For Unstructured Meshes","1985","","Inglês","IMPRESSO","","NAO","","","NAO",13,
"COMPLETO","Object oriented tools for scientific computing","2000","","Inglês","IMPRESSO","","SIM","","","NAO",14,
"COMPLETO","A co-rotational approach for the simulation of flexible mechanisms","2000","Holanda","Inglês","IMPRESSO","","NAO","","","NAO",15,
"COMPLETO","Uma comparação de esquemas e estabilização para simulação por elementos finitos de escoamentos imiscíveis bi-fásicos em meios porosos.","2003","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",16,
"COMPLETO","Object Oriented Design Philosophy for Scientific Computing","2002","França","Inglês","IMPRESSO","","NAO","","","NAO",17,
"COMPLETO","Stabilized discontinuous Galerkin method for hyperbolic equations","2005","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.cma.2004.06.036","Stabilized discontinuous Galerkin method for hyperbolic equations","NAO",18,
