FINALIDADE,INSTITUICAO-PROMOTORA,LOCAL,CIDADE,FINALIDADE-INGLES,OUTRA-PRODUCAO-TECNICA_Id
"","","","","",0
"","","","","",1
"","","","","",2
"","","","","",3
"","","","Belo Horizonte","",4
"","","Universidade Estadual de Campinas","Campinas","",5
"","","University of Colorado","Fort Collins, Colorado","",6
"","","Universidade Federal do Rio de Janeiro, Depto. de Matemática","Rio de Janeiro","",7
"","","TICOM - Texas Institute on Computational Mechanics","Austin, Texas","",8
"","","INRIA - Sophia Antipólis","","",9
"","","Universitè de Liège","Liège","",10
"","Universidade Federal do Rio Grande do Norte","RN","Natal","",11
"Apresentação do seminário "An Object Oriented Approach Applied to the Development of Finite Element Software".","The University of Texas At Austin","Institute for Computational Engineering and Sciences","Austin, Texas","",12
"","","","","",13
