DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,SOFTWARE_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-OFICINA_Id
"Ambiente de desenvolvimento de software de elementos finitos. Procura integrar num unico ambiente várias técnicas avancadas de elementos finitos","",0,,,,,,,,
"Ambiente orientado para objetos para desenvolvimento de algoritmos de computacao paralela.","",1,,,,,,,,
"Jornada organizada por Olivier Pironneau. Home page
www.ann.jussieu.fr/~pironneau/cpp","",,29,,,,,,,
"Seminario","",,30,,,,,,,
"Disciplina: IP 021 - Seminários em Engenharia de Petróleo
Curso: Engenharia de Petróleo","",,,6,,,,,,
"Participação no Comité científico","",,,,2,,,,,
"Bolsa Fapesp no 00/13922-3","",,,,,2,,,,
"Exame de Qualificação de Mestrado.","",,,,,,2,,,
"Exame de Qualificação de Mestrado","",,,,,,7,,,
"Exame de Qualificação de Mestrado","",,,,,,9,,,
"Exame de Qualificação de Mestrado","",,,,,,14,,,
"Exame de Qualificação de Mestrado","",,,,,,16,,,
"Exame de Qualificação de Mestrado.","",,,,,,17,,,
"candidato: Prof. Dr. Murilo Francisco Tomé
Título: GENSMACVISCO: Um Método Numérico para Resolver Escoamentos Viscoelásticos Não-Estacionários com Fronteiras Livres","",,,,,,,0,,
"Especialidade "Mecânica dos Sólidos Deformáveis"
Candidato Prof. Dr. Miguel Luiz Bucalem","",,,,,,,2,,
"candiato: Prof. Dr. Marco Lúcio Bittencourt","",,,,,,,,1,
"Área- Projeto Mecânico
Dpto Mecânica Computacional
FEM-UNICAMP","",,,,,,,,2,
"Aluna: thais Godoy Vasquez
Tese: "Funções de Base e Regras de Integração Tensorizáveis para o MEF Espectral."
Engenharia Mecânica, na área de Mecânica dos Sólidos e Projeto Mecânico.","",,,,,,,,5,
"curso de 20 horas","",,,,,,,,,5
