PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Computacao Matricial","Análise de tensões","Placas e cascas","","","",0,,,,,,,,,,,,,,,,,,,,,,
"","","Metodos Adaptativos","Elementos Finitos","Mecanica dos Fluidos","",,0,,,,,,,,,,,,,,,,,,,,,
"Computacao Orientada Para Objetos","Elementos Finitos","","","","",,,1,,,,,,,,,,,,,,,,,,,,
"Elementos Finitos","computação orientada para objetos","Computação Paralela","","","",,,,0,,,,,,,,,,,,,,,,,,,
"Computacao Matricial","Computacao Orientada Para Objetos","","","","",,,,,0,,,,,,,,,,,,,,,,,,
"Computacao Matricial","Computacao Orientada Para Objetos","","","","",,,,,1,,,,,,,,,,,,,,,,,,
"Programacao Orientada Para Objetos","Computação Paralela","","","","",,,,,2,,,,,,,,,,,,,,,,,,
"Computacao Orientada Para Objetos","Escoamento em meios porosos","","","","",,,,,3,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Escoamento em meios porosos","","","","",,,,,4,,,,,,,,,,,,,,,,,,
"Mecanica Computacional","Simulação de mecanismos","","","","",,,,,5,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Formulação co-rotacional","","","","",,,,,6,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Formulação co-rotacional","","","","",,,,,7,,,,,,,,,,,,,,,,,,
"Computacao Matricial","Vectorizacao","","","","",,,,,8,,,,,,,,,,,,,,,,,,
"Computacao Matricial","Computacao Orientada Para Objetos","","","","",,,,,9,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","","","","",,,,,10,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","","","","",,,,,11,,,,,,,,,,,,,,,,,,
