PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"271",0
1,"277",0
2,"434",0
3,"313",0
4,"452",0
5,"529",0
6,"316",0
7,"527",0
8,"528",0
9,"415",0
10,"246",0
11,"400",0
12,"257",0
13,"286",0
14,"488",0
15,"278",0
16,"398",0
17,"280",0
18,"266",0
19,"258",0
20,"256",0
21,"467",0
22,"526",0
23,"264",0
24,"335",0
25,"341",0
26,"260",0
27,"248",0
28,"430",0
29,"356",0
30,"320",0
31,"340",0
32,"270",0
33,"322",0
34,"333",0
35,"432",0
36,"253",0
37,"324",0
38,"489",0
39,"337",0
40,"244",0
41,"330",0
42,"247",0
43,"318",0
44,"269",0
45,"336",0
46,"275",0
47,"342",0
48,"259",0
49,"261",0
50,"262",0
51,"435",0
52,"331",0
53,"279",0
54,"325",0
55,"558",0
56,"315",0
57,"327",0
58,"332",0
59,"446",0
60,"287",0
61,"394",0
62,"254",0
63,"263",0
64,"276",0
65,"445",0
66,"268",0
67,"321",0
68,"148",0
69,"149",0
70,"273",0
71,"326",0
72,"274",0
73,"267",0
74,"255",0
75,"281",0
