NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,BANCA-JULGADORA-PARA-AVALIACAO-CURSOS_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",0,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",1,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",2,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",3,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",4,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",5,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",6,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",7,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",8,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",9,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",10,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",11,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",12,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",13,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",14,,,,,,,
