NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",0,,,,,,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",1,,,,,,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",2,,,,,,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,0,,,,,,,,,,,,
"Regina Machado","MACHADO, REGINA","1","",,1,,,,,,,,,,,,
"ABREU, CLENIO DE MOURA","ABREU, CLENIO DE MOURA","2","",,1,,,,,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,0,,,,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,0,,,,,,,,,,
"Marilda Santanna","Santanna, M","2","",,,,0,,,,,,,,,,
"Carmélia MIranda","MIRANDA, C.","3","",,,,0,,,,,,,,,,
"Claudia Sisan","SISAN, C.","4","",,,,0,,,,,,,,,,
"Clecia Queiroz","QUEIROZ, C.","5","",,,,0,,,,,,,,,,
"Katharina Döring","DÖRING, K.","6","",,,,0,,,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,0,,,,,,,,,
"Teca Alencar de Brito","BRITO, T. A.","1","",,,,,,0,,,,,,,,
"Ricardo Breim","BREIM, R.","2","",,,,,,0,,,,,,,,
"Suzana Salles","SALLES, S.","3","",,,,,,0,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","4","1982616485538147",,,,,,0,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,1,,,,,,,,
"Sergio Godoy","GODOY, S.","2","",,,,,,1,,,,,,,,
"Carlos Sandroni","SANDRONI, C.","3","",,,,,,1,,,,,,,,
"Regina Machado","MACHADO, REGINA","1","",,,,,,2,,,,,,,,
"Marilda Santanna","Santanna, M","2","",,,,,,2,,,,,,,,
"Claudia Sisan","SISAN, C.","3","",,,,,,2,,,,,,,,
"Tania Garcia","Garcia, T.","4","",,,,,,2,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,3,,,,,,,,
"Guilherme Tavarez","Tavarez, G.","2","",,,,,,3,,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,0,,,,,,,
"Claudia Zanini","ZANINI, C.","1","",,,,,,,1,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,1,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,2,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,3,,,,,,,
"Sergio Molina","MOLINA, S.","2","",,,,,,,3,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,4,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,5,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,6,,,,,,,
"Luciana Prass","Prass, L.","2","",,,,,,,6,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,7,,,,,,,
"Flavia Prando","Prando, F.","2","",,,,,,,7,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,8,,,,,,,
"Sergio Molina","MOLINA, S.","2","",,,,,,,8,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,9,,,,,,,
"Sergio Molina","MOLINA, S.","2","",,,,,,,9,,,,,,,
"Regina Machado","MACHADO, REGINA","1","",,,,,,,10,,,,,,,
"Sergio Molina","MOLINA, S.","2","",,,,,,,10,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,11,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,12,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,13,,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,0,,,,,,
"Sonia Ruberti","RUBERTI, S.","2","",,,,,,,,0,,,,,,
"Ritamaria","Ritamaria","3","",,,,,,,,0,,,,,,
"Solange Sá","Sá, Solange","4","",,,,,,,,0,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,1,,,,,,
"Ritamaria","Ritamaria","2","",,,,,,,,1,,,,,,
"Sonia Ruberti","RUBERTI, S.","3","",,,,,,,,1,,,,,,
"Solange Sá","Sá, Solange","4","",,,,,,,,1,,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,2,,,,,,
"Ítalo Perón de Andrade","ANDRADE, I. P.","2","",,,,,,,,2,,,,,,
"Fabio Barros","BARROS, F.","3","",,,,,,,,2,,,,,,
"Ritamaria","Ritamaria","4","",,,,,,,,2,,,,,,
"Sonia Ruberti","RUBERTI, S.","5","",,,,,,,,2,,,,,,
"Solange Sá","Sá, Solange","6","",,,,,,,,2,,,,,,
"Ítalo Perón de Andrade","ANDRADE, I. P.","1","",,,,,,,,,0,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,0,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,1,,,,,
"Joana Mariz","MARIZ, J.","2","",,,,,,,,,1,,,,,
"Maria Luiza Kfouri","Kfouri, M.L.","3","",,,,,,,,,1,,,,,
"Marilda Santanna","Santanna, M","4","",,,,,,,,,1,,,,,
"Gil Vicente Tavares","Tavares, Gil V","5","",,,,,,,,,1,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,2,,,,,
"Luiz Augusto de Moraes Tatit","Luiz Tatit","2","",,,,,,,,,2,,,,,
"José Miguel Wisnik","WISNIK, J.M.","3","",,,,,,,,,2,,,,,
"Joana Mariz","MARIZ, J.","4","",,,,,,,,,2,,,,,
"Sergio Molina","MOLINA, S.","5","",,,,,,,,,2,,,,,
"Dante Ozzetti","OZZETTI, D.","6","",,,,,,,,,2,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,0,,,,
"João Carlos Santana","João Carlos Santana","1","",,,,,,,,,,1,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,1,,,,
"Ítalo Perón de Andrade","ANDRADE, I. P.","3","",,,,,,,,,,1,,,,
"Norberto Vinhas","VINHAS, N.","4","",,,,,,,,,,1,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,2,,,,
"Joana Mariz","MARIZ, J.","2","",,,,,,,,,,2,,,,
"Samuel Kerr","KERR, S.","3","",,,,,,,,,,2,,,,
"Elizabeth Amin","Amin, E.","4","",,,,,,,,,,2,,,,
"Renata Gelamo","GELAMO, R.","5","",,,,,,,,,,2,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,3,,,,
"Claudia Zanini","ZANINI, C.","2","",,,,,,,,,,3,,,,
"Acácio Tadeu de C. Piedade","PIEDADE, A. T. C.","3","",,,,,,,,,,3,,,,
"Ana Guiomar Rêgo Souza","SOUZA, A. G. R.","4","",,,,,,,,,,3,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,4,,,,
"Joana Mariz de Oliveira","Oliveira, Joana M","1","",,,,,,,,,,5,,,,
"Clara Sandroni","Sandroni, C.","2","",,,,,,,,,,5,,,,
"Monica Thiele","Thiele, M.","3","",,,,,,,,,,5,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","4","1982616485538147",,,,,,,,,,5,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,6,,,,
"Ana Neri","Ana Neri","2","",,,,,,,,,,6,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,7,,,,
"Consiglia Latorre","Latorre, C.C.","2","",,,,,,,,,,7,,,,
"Andrea dos Guimarães","Guimarães, A.","3","",,,,,,,,,,7,,,,
"Alexei Alves","Alexei Alves","4","",,,,,,,,,,7,,,,
"Joana Mariz de Souza","Souza, J. Mariz","5","",,,,,,,,,,7,,,,
"Viviana Ceverino","Ini Ceverino","6","",,,,,,,,,,7,,,,
"Teresa Lima","Teca Lima","1","",,,,,,,,,,8,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,8,,,,
"Tom Zé","Tom Zé","3","",,,,,,,,,,8,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,9,,,,
"Arrigo Barnabé","Arrigo Barnabé","2","",,,,,,,,,,9,,,,
"Augusto, E.","Augusto, E.","1","",,,,,,,,,,10,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,10,,,,
"Shirley Espindola","Epindola, S.","1","",,,,,,,,,,11,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,11,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,12,,,,
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,12,,,,
"Norberto Vinhas","VINHAS, N.","3","",,,,,,,,,,12,,,,
"Toninho Spessoto","SPESSOTO, T.","4","",,,,,,,,,,12,,,,
"Cintia Gomes","GOMES, C.","1","",,,,,,,,,,13,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",,,,,,,,,,13,,,,
"Perón, Italo","PERÒN, ITalo","3","",,,,,,,,,,13,,,,
"Norberto Vinhas","VINHAS, N.","4","",,,,,,,,,,13,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,,,,,,,,14,,,,
"Perón, Italo","PERÒN, ITalo","2","",,,,,,,,,,14,,,,
"Norberto Vinhas","VINHAS, N.","3","",,,,,,,,,,14,,,,
"Paulo Ragassi","RAGASSI, P.","1","",,,,,,,,,,15,,,,
"Maga Lieri","LIERI, M.","2","",,,,,,,,,,15,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",,,,,,,,,,15,,,,
"Perón, Italo","PERÒN, ITalo","4","",,,,,,,,,,15,,,,
"Norberto Vinhas","VINHAS, N.","5","",,,,,,,,,,15,,,,
