NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id
"Projeto/Mostra Cultural","Semana Paulista de Arte","1985","Brasil","Português","OUTRO","","NAO","","","","NAO",0
"Projeto Musical","Os Caminhos da Canção Brasileira","1994","Brasil","Português","VARIOS","","NAO","","","","NAO",1
"Show musical","Bons Encontros","1992","Brasil","Português","OUTRO","","NAO","","","","NAO",2
"Projeto Musical","Oficina de Improvisação Livre com Stênio Mendes","2009","Brasil","Português","OUTRO","","NAO","","","","NAO",3
"","Cantico","1998","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",4
"","Sobre a Paixão","1998","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",5
"","São Paulo","1998","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",6
"","Voz","1998","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",7
"","Além do amar","1998","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",8
"","Pulsar","2004","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",9
"","Rio de Janeiro","2004","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",10
"","Vazio","2004","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",11
"","Promessa","2004","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",12
"","Santa","2009","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",13
"",""Fado" sobre adaptação do poema de Camões por José Rubens Siqueira","2003","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",14
"",""Orientes" adaptação livre do poema de Camões por Magda Pucci","2003","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",15
"Projeto Musical","Encontro com Paulo Vanzolini","2010","Brasil","Português","VARIOS","","NAO","","","","NAO",16
"Projeto Musical","Na Pauta - Ideia de Antes","2012","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",17
"Projeto Musical","Na Pauta - Vozes Bugras","2012","Brasil","Português","VARIOS","www.cantodobrasil.com.br","NAO","","","","NAO",18
"Projeto Musical","Na Pauta - Lucina e Alzira Espíndola","2012","Brasil","Português","NAO_INFORMADO","www.cantodobrasil.com.br","NAO","","","","NAO",19
