TIPO,NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-BANCAS-JULGADORAS_Id
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2003","Brasil","Português","","","","",0
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2004","Brasil","Português","","","","",1
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2005","Brasil","Português","","","","",2
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2006","Brasil","Português","","","","",3
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2007","Brasil","Português","","","","",4
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2008","Brasil","Português","","","","",5
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2009","Brasil","Português","","","","",6
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2010","Brasil","Português","","","","",7
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2011","Brasil","Português","","","","",8
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2012","Brasil","Português","","","","",9
"","Outra","Desejo de ser cantora","2013","Brasil","Português","","","","",10
"","Outra","Banca Examinadora para o Vestibular Prova Específica Aptidão em Música Popular Modalidade Voz","2002","Brasil","Português","","","","",11
