PARTICIPACAO-DOS-AUTORES,INSTITUICAO-PROMOTORA-DO-CURSO,LOCAL-DO-CURSO,CIDADE,DURACAO,UNIDADE,UNIDADE-INGLES,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"DOCENTE","SESC Vila Mariana","Sesc Vila Mariana","São Paulo","5","horas","",0
"DOCENTE","Universidade Federal de Goiás - Programa de Pós-Graduação","","Gioania","3","horas","",1
"DOCENTE","Sesc Consolação","Sesc Consolação","São Paulo","15","horas","",2
"DOCENTE","Faculdade Santa Marcelina","Rua Emilio Ribas, 89","São Paulo","20","horas","",3
"DOCENTE","Serviço Social do Comercio","Sesc Vila Mariana","São Paulo","5","horas","",4
"DOCENTE","Sesc Consolação","Sesc Consolação","São Paulo","15","horas","",5
"DOCENTE","Universidade Federal do Rio Grande do Sul","Auditório","Porto Alegre","2","horas","",6
"DOCENTE","Centro de Pesquisa e Formação do Sesc","Rua Doutor Plinio Barreto, 285 4o andar","São Paulo","8","horas","",7
"DOCENTE","Faculdade Santa Marcelina","Rua Doutor Emílio Ribas, 89","São Paulo","20","horas","",8
"DOCENTE","Faculdade Santa Marcelina","Faculdade Santa Marcelina","São Paulo","5","dias","",9
"DOCENTE","Faculdade Santa Marcelina","Rua Dr.Emílio Ribas , 89","São Paulo","5","dias","",10
"DOCENTE","Universidad Nacional de Cuyo","Anfiteatro","Mendoza","3","horas","",11
"DOCENTE","Secretaria Municipal de Cultura da Cidade de Ourinhos","Escola Municipal de Música","Ourinhos","21","horas","",12
"DOCENTE","Ministerio de La Cultura de la Provincia de Mendoza","Universidad Nacional de Cuyo","Mendoza","4","horas","",13
