INSTITUICAO-PROMOTORA-DO-EVENTO,LOCAL-DO-EVENTO,CIDADE,EXPOSICAO,PREMIACAO,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id
"Rede Globo de Televisão","Centro Cultural São Paulo","São Paulo","","",0
"Teatro Hall","Teatro Hall","São Paulo","","",1
"","Teatro Crowne Plaza","São Paulo","","",2
"Departamento de Música da Universidade Estadual de Campinas","Instituto de Artes da Universidade Estadual de Campinas","Campinas","","",3
"","","","","",4
"","","","","",5
"","","","","",6
"","","","","",7
"","","","","",8
"","","","","",9
"","","","","",10
"","","","","",11
"","","","","",12
"","","","","",13
"","","","","",14
"","","","","",15
"Canto do Brasil Atividade e Ensino Musical","Auditório do Canto do Brasil","São Paulo","","",16
"Canto do Brasil Atividade e Ensino Musical","Auditório do Canto do Brasil","São Paulo","","",17
"Canto do Brasil Atividade e Ensino Musical","Auditório do Canto do Brasil","Sao Paulo","","",18
"Canto do Brasil Atividade e Ensino Musical","Auditório do Canto do Brasil","Sao Paulo","","",19
