CODIGO-INSTITUICAO,NOME-INSTITUICAO,OUTRAS-BANCAS-JULGADORAS_Id
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",0
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",1
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",2
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",3
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",4
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",5
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",6
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",7
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",8
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",9
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",10
"000900000996","Instituto de Artes da Universidade Estadual de Campinas",11
