DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"A Revista Brasileira de Estudos da Canção ? RBEC é uma publicação online, semestral, destinada a estudos na área de Música Popular. Ela é fruto do projeto de pesquisa ?Modelos de Análise da Canção Popular: uma Abordagem Interdisciplinar? (PIC6124-2010-PROPESQ-UFRN), por nós coordenado em 2011. Reestruturado, retoma suas atividades em 2012 como ?Grupo de Estudos Interdisciplinares em Música Popular? (PIJ7873-2011-PROPESQ-UFRN), e congrega professores e alunos de graduação e de pós-graduação para sessões de discussão de textos, exibição de documentários e audição de gravações, tendo como denominador comum a Música Popular, qualquer que seja sua origem ou época: blues, samba, soul, bolero, jazz, hip-hop, chanson, pop, reggae, choro, rock.","",0,,,,,,,,,,,,,,,,,,,
"Este artigo apresenta uma ana&#769;lise do comportamento vocal em duas interpretac&#807;o&#771;es distintas da canc&#807;a&#771;o ?Sonhos? do compositor Peninha. A primeira foi extrai&#769;da do compacto gravado por Peninha em 1977, primeiro registro da canc&#807;a&#771;o. A segunda trata-se da versa&#771;o de Caetano Veloso para o disco Cores, Nomes de 1982. Num primeiro momento foi desenvolvida uma ana&#769;lise cancional, na qual discorremos sobre os elos de melodia e letra no interior da canc&#807;a&#771;o, tendo como referencial teo&#769;rico a Semio&#769;tica da Canc&#807;a&#771;o, pra&#769;tica descritiva desenvolvida por Luiz Tatit. Em seguida, a partir da escuta atenta dos dois fonogramas, foi realizada uma ana&#769;lise de cada uma das interpretac&#807;o&#771;es, com o intuito de compreender como se da&#769;, atrave&#769;s de cada inte&#769;rprete, a explicitac&#807;a&#771;o dos sentidos inscritos na canc&#807;a&#771;o. Para tanto, nos utilizamos da Ana&#769;lise Semio&#769;tica do Canto Popular, pra&#769;tica anali&#769;tica desenvolvida por Regina Machado a partir de estudos sobre a Semio&#769;tica da Canc&#807;a&#771;o em junc&#807;a&#771;o com estudos sobre os elementos da voz.","Este artigo apresenta uma ana&#769;lise do comportamento vocal em duas interpretac&#807;o&#771;es distintas da canc&#807;a&#771;o ?Sonhos? do compositor Peninha. A primeira foi extrai&#769;da do compacto gravado por Peninha em 1977, primeiro registro da canc&#807;a&#771;o. A segunda trata-se da versa&#771;o de Caetano Veloso para o disco Cores, Nomes de 1982. Num primeiro momento foi desenvolvida uma ana&#769;lise cancional, na qual discorremos sobre os elos de melodia e letra no interior da canc&#807;a&#771;o, tendo como referencial teo&#769;rico a Semio&#769;tica da Canc&#807;a&#771;o, pra&#769;tica descritiva desenvolvida por Luiz Tatit. Em seguida, a partir da escuta atenta dos dois fonogramas, foi realizada uma ana&#769;lise de cada uma das interpretac&#807;o&#771;es, com o intuito de compreender como se da&#769;, atrave&#769;s de cada inte&#769;rprete, a explicitac&#807;a&#771;o dos sentidos inscritos na canc&#807;a&#771;o. Para tanto, nos utilizamos da Ana&#769;lise Semio&#769;tica do Canto Popular, pra&#769;tica anali&#769;tica desenvolvida por Regina Machado a partir de estudos sobre a Semio&#769;tica da Canc&#807;a&#771;o em junc&#807;a&#771;o com estudos sobre os elementos da voz.",1,,,,,,,,,,,,,,,,,,,
"Primeira edição.
Prefácio Luiz Tatit.
Apresentação José Roberto Zan.","",,0,,,,,,,,,,,,,,,,,,
"Artigo escrito para o jornal O Estado de São Paulo sobre a utilização do computador no desenvolvimento das atividades artísticas e musicais.","Artigo escrito para o jornal O Estado de São Paulo sobre a utilização do computador no desenvolvimento das atividades artísticas e musicais.",,,0,,,,,,,,,,,,,,,,,
"Projeto com curadoria de Sergio Godoy e Carlos Sandroni que leva pesquisadores do Brasil todo para falarem de seus trabalhos aos estudantes e público em geral. Sediado pelo Conservatório Pernambucano de Música e realizado com o apoio do Fundo de Incentivo à Cultura do Estado de Pernambuco.","",,,,1,,,,,,,,,,,,,,,,
"Palestra na qual as autoras abordaram os conteúdos dos respectivos capítulos escritos para o livro "As bambas do samba - mulher e poder na roda" (EDUFBA 2016).","",,,,2,,,,,,,,,,,,,,,,
"Palestra sobre a história da voz na canção popular brasileira, ministrada aos alunos da UFPEL e também ao público em geral, no dia 30 de novembro de 2013.","",,,,3,,,,,,,,,,,,,,,,
"Mini-curso ministrado durante o XII Seminário Nacional de Pesquisa em Música organizado pelo programa de Pós-graduação da Universidade Federal de Goiás em 04 de outubro de 2012.","",,,,,1,,,,,,,,,,,,,,,
"Disciplina ministrada na Pós-Graduação Latu Senso oferecida pela Faculdade Santa Marcelina, de 24 de maio a 6 de julho de 2013","Disciplina ministrada na Pós-Graduação Latu Senso "Canção Popular: criação, produção musical e performance" oferecida pela Faculdade Santa Marcelina, de 24 de maio a 6 de julho de 2013",,,,,3,,,,,,,,,,,,,,,
"A canção popular no Brasil começa sua trajetória com as gravações da Casa Edison ainda na primeira década do século XX. A partir daí essa história vai consolidando uma tradição cujos principais protagonistas, além dos próprios compositores, são os intérpretes. A expansão dessa forma de manifestação se dá a partir do início dos anos 1920 quando começam as transmissões radiofônicas e atinge o ápice com a inauguração dos Programas de Auditório a partir de 1938, o que vai permitir ao público ter acesso direto aos artistas. As duas próximas décadas (40 e 50) vão testemunhar o surgimento de cantores que movimentavam grandes massas de fãs organizados em clubes através dos quais veneravam e cultivavam a paixão por seus intérpretes. A partir do final do anos 1950, com a ascensão da televisão esses artistas perdem um espaço considerável e a dimensão da performance cênica também toma proporções diversas. 
Nesses dois encontros vamos abordar as vozes do Brasil no rádio, analisando aspectos do canto de alguns dos mais importantes intérpretes da história da nossa canção:","A canção popular no Brasil começa sua trajetória com as gravações da Casa Edison ainda na primeira década do século XX. A partir daí essa história vai consolidando uma tradição cujos principais protagonistas, além dos próprios compositores, são os intérpretes. A expansão dessa forma de manifestação se dá a partir do início dos anos 1920 quando começam as transmissões radiofônicas e atinge o ápice com a inauguração dos Programas de Auditório a partir de 1938, o que vai permitir ao público ter acesso direto aos artistas. As duas próximas décadas (40 e 50) vão testemunhar o surgimento de cantores que movimentavam grandes massas de fãs organizados em clubes através dos quais veneravam e cultivavam a paixão por seus intérpretes. A partir do final do anos 1950, com a ascensão da televisão esses artistas perdem um espaço considerável e a dimensão da performance cênica também toma proporções diversas. 
Nesses dois encontros vamos abordar as vozes do Brasil no rádio, analisando aspectos do canto de alguns dos mais importantes intérpretes da história da nossa canção:",,,,,4,,,,,,,,,,,,,,,
