PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"canto popular","vanguarda paulista","Análise do comportamento vocal","Semiótica","","",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"canção popular","Análise do comportamento vocal","canto popular","Voz","semiótica da canção","",,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"canto popular","vanguarda paulista","","","","",,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"canto popular","vanguarda paulista","","","","",,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"canto popular","semiótica da canção","Análise do comportamento vocal","","","",,,2,,,,,,,,,,,,,,,,,,,,,,,,,
"canto popular","canção popular","Análise do comportamento vocal","","","",,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"comportamento vocal","análise semiótica","semiótica da canção","","","",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
"canção popular","canto popular","Música Popular","Técnica Vocal","","",,,,,0,,,,,,,,,,,,,,,,,,,,,,,
"samba","mulheres","musica popular brasileira","","","",,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"Música","Voz","Composição","","","",,,,,,,0,,,,,,,,,,,,,,,,,,,,,
"canção popular","Educação Musical","","","","",,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"Pesquisa","Pós-graduação","canto popular","","","",,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"mulheres no samba","canto popular","samba","","","",,,,,,,,2,,,,,,,,,,,,,,,,,,,,
"Canto","canto popular","canção popular","curso de extensão","","",,,,,,,,3,,,,,,,,,,,,,,,,,,,,
"canto popular","canção popular","","","","",,,,,,,,,0,,,,,,,,,,,,,,,,,,,
"canto popular","canção popular","Técnica Vocal","semiótica da canção","","",,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"canto popular","História do Canto","","","","",,,,,,,,,2,,,,,,,,,,,,,,,,,,,
"canção popular","canto popular","Pós-graduação","","","",,,,,,,,,3,,,,,,,,,,,,,,,,,,,
"canto popular","música brasileira","rádio","","","",,,,,,,,,4,,,,,,,,,,,,,,,,,,,
"canção popular","gravação","","","","",,,,,,,,,5,,,,,,,,,,,,,,,,,,,
"canto popular","Técnica Vocal","Voz","","","",,,,,,,,,6,,,,,,,,,,,,,,,,,,,
"canção popular","canto popular","história da música popular","","","",,,,,,,,,7,,,,,,,,,,,,,,,,,,,
"canto popular","Música Popular","música brasileira","","","",,,,,,,,,8,,,,,,,,,,,,,,,,,,,
"Pós-graduação","canção popular","especialização","","","",,,,,,,,,9,,,,,,,,,,,,,,,,,,,
"canto popular","canção popular","extensão","","","",,,,,,,,,10,,,,,,,,,,,,,,,,,,,
"canto popular","canção popular","Americanto","","","",,,,,,,,,11,,,,,,,,,,,,,,,,,,,
"Festival de Música","canto popular","","","","",,,,,,,,,12,,,,,,,,,,,,,,,,,,,
"Americanto","canto popular","","","","",,,,,,,,,13,,,,,,,,,,,,,,,,,,,
"projeto didático","canto popular","Canto do Brasil","","","",,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"canto popular","Canto do Brasil","canção popular","projeto didático","","",,,,,,,,,,1,,,,,,,,,,,,,,,,,,
"canto popular","Canto do Brasil","projeto didático","","","",,,,,,,,,,2,,,,,,,,,,,,,,,,,,
"Música Instrumental","Música Popular","","","","",,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Canto","canção popular","Improvisação Vocal","","","",,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"canção popular","canto popular","","","","",,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"canto popular","Composições","CD","","","",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"CD","canto popular","CBN","","","",,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"canto popular","fisiologia da voz","Canto","","","",,,,,,,,,,,,2,,,,,,,,,,,,,,,,
"SEMPEM","canção popular","canto popular","","","",,,,,,,,,,,,3,,,,,,,,,,,,,,,,
