NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Marilia Alvares","Profa Dra Marilia Alvares","3","",0,,,,,
"Magda Climaco","CLIMACO, M.","1","",0,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",0,,,,,
"Pedro Paulo Salles","Salles, P.P.","1","",1,,,,,
"Fabio Cardozo de Mello Cintra","CIntra, F.C.M.","3","",1,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",1,,,,,
"Guilherme do Val Toledo Prado","Prado, Guilherme V.T.","2","",2,,,,,
"José Luiz Schroeder","Schroeder J. L.","1","",2,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",2,,,,,
"Sergio Luiz Ferreira de Figueiredo","Figueiredo, S.L.F.","1","",3,,,,,
"Luis Fernando Hering Coelho","Coelho, L.F.H.","3","",3,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","2","1982616485538147",3,,,,,
"Angelo José Fernandes","FERNANDES, A.J.","1","",4,,,,,
"José Francisco da Costa","Costa, J.F.","2","",4,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",4,,,,,
"Monica de Almeida Duarte","DUARTE, M.A.","1","",5,,,,,
"Martha Tupinambá Ulhôa","Ulhôa, M. T.","2","",5,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","3","1982616485538147",5,,,,,
"Adriana do Nascimento Araujo Mendes","Mendes, Adriana N A","2","",6,,,,,
"Thais dos Guimarães Alvim Nunes","Nunes, Thais G. A","3","",6,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",6,,,,,
"Thais dos Guimarães Alvim Nunes","Nunes, Thais G. A","2","",7,,,,,
"Ivã Carlos Lopes","Lopes, Ivã C.","3","",7,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",7,,,,,
"Adriana do Nascimento Araujo Mendes","Mendes, Adriana N A","3","",8,,,,,
"Thais dos Guimarães Alvim Nunes","Nunes, Thais G. A","2","",8,,,,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",8,,,,,
"Regina Machado","MACHADO, REGINA","2","",9,,,,,
"Larissa Sato Turtelli","Turtelli, Larissa S","1","",9,,,,,
"Flavio de Campos Braga","Braga, F. de Campos","3","",9,,,,,
"Regina Machado","MACHADO, REGINA","1","",10,,,,,
"José Alexandre Leme Lopes de Carvalho","Carvalho, José Alexandre L.L","2","",10,,,,,
"Thais dos Guimarães Alvim Nunes","Nunes, Thais G. A","3","",10,,,,,
"Regina Machado","MACHADO, REGINA","1","",11,,,,,
"José Augusto Mannis","MANNIS, J. A.","2","",11,,,,,
"Flavio Apro","Apro, F.","3","",11,,,,,
"Claudia Souza Nunes Azevedo","Azevedo, Claudia S. N.","2","",12,,,,,
"Samuel Araujo","Araujo, S.","3","",12,,,,,
