NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",0,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",1,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",2,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",3,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",4,,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,0,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,1,
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,0
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,1
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,2
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,3
"Regina Machado","MACHADO, R.;MACHADO, REGINA","1","1982616485538147",,,4
