SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Outros Setores","","",1,,,,,,,,,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,1,,,,,,,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,0,,,,,,,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,0,,,,,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,0,,,,,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,1,,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,3,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,6,,,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,7,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,8,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,9,,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,0,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,1,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,2,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,0,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","Pesquisa e desenvolvimento científico",,,,,,,,,1,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,2,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,2,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,4,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,6,,,,,,,,,,,,,
"Educação","","",,,,,,,,,,7,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,8,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Atividades de rádio e de televisão","",,,,,,,,,,9,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,10,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,11,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,12,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,13,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,14,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,15,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,17,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,0,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,2,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,7,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,3,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,4,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,5,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,6,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,7,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,8,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,9,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,10,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,11,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,12,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,13,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,14,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,15,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,16,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,17,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,18,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,19,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,0,,,,,,,,,,
"Outro","","",,,,,,,,,,,,,,0,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,,,10,,,,,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,11,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,12,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,13,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,14,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,15,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,16,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,17,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,0,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,7,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,3,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,4,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,5,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,6,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,7,,,,,,,
"Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,8,,,,,,,
"Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,9,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,15,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,16,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,17,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,18,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,,,,,,0,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,3,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,4,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,5,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,6,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,7,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,8,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,9,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,10,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,11,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,,2,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,5,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,6,,,,
"Educação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,,,,8,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,,,,9,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,,,11,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,,,,15,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,16,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,,,,,,17,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,19,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,1,,,
"Educação","Artes, cultura, esporte e recreação","",,,,,,,,,,,,,,,,,,,,,1,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,,,,,,,,,,2,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,,,,,,3,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,6,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,7,,
"Educação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,,,,,,8,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,,,,,,,0,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,,,,,,,,0
"Educação","","",,,,,,,,,,,,,,,,,,,,,,,1
