NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",0
"CIENCIAS_SOCIAIS_APLICADAS","","","",1
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",2
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Política","",3
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",4
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",5
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",6
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",7
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",8
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Fiscal","Teoria Monetária e Financeira",9
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",10
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",11
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",12
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Política","",13
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",14
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",15
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",16
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",17
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",18
"CIENCIAS_SOCIAIS_APLICADAS","","macroeconomia","",19
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",20
"CIENCIAS_SOCIAIS_APLICADAS","","","",21
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Social","",22
"CIENCIAS_SOCIAIS_APLICADAS","","Teoria Econômica","História do Pensamento Econômico",23
"CIENCIAS_SOCIAIS_APLICADAS","","","",24
"CIENCIAS_SOCIAIS_APLICADAS","","","",25
"CIENCIAS_SOCIAIS_APLICADAS","","Teoria Econômica","História do Pensamento Econômico",26
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Monetária e Financeira","",27
"CIENCIAS_SOCIAIS_APLICADAS","","Economia Política","",28
