AREAS-DO-CONHECIMENTO_Id,POS-DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,
1,,22,,,,,,,,,,,,,
2,,26,,,,,,,,,,,,,
3,,27,,,,,,,,,,,,,
4,,28,,,,,,,,,,,,,
5,,,16,,,,,,,,,,,,
6,,,,34,,,,,,,,,,,
7,,,,,5,,,,,,,,,,
8,,,,,6,,,,,,,,,,
9,,,,,,2,,,,,,,,,
10,,,,,,3,,,,,,,,,
11,,,,,,4,,,,,,,,,
12,,,,,,,0,,,,,,,,
13,,,,,,,,0,,,,,,,
14,,,,,,,,,32,,,,,,
15,,,,,,,,,33,,,,,,
16,,,,,,,,,,21,,,,,
17,,,,,,,,,,22,,,,,
18,,,,,,,,,,,15,,,,
19,,,,,,,,,,,18,,,,
20,,,,,,,,,,,,17,,,
21,,,,,,,,,,,,18,,,
22,,,,,,,,,,,,26,,,
23,,,,,,,,,,,,,34,,
24,,,,,,,,,,,,,,1,
25,,,,,,,,,,,,,,5,
26,,,,,,,,,,,,,,6,
27,,,,,,,,,,,,,,,0
28,,,,,,,,,,,,,,,2
