ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"101800000000","Fundação de Economia e Estatística","1","4",0
1,"051400000002","Universidade Presbiteriana Mackenzie","3","7",0
2,"000400000997","Fundação Seade Sistema Estadual de Análise de Dados","4","3",0
3,"007900000004","Universidade Estadual de Campinas","5","1",0
4,"000500000999","Faculdades de Campinas","6","5",0
5,"019200000005","Universidade Federal do Rio Grande do Sul","8","2",0
6,"001700000990","Secretaria da Fazenda do Estado do Rio Grande do Sul","15","",0
7,"001800000992","Faculdade de Ciências Contábeis e Administrativas de Taquara","16","",0
8,"033700000000","Universidade Federal do Rio Grande do Norte","18","",0
9,"066300000009","Instituto de Pesquisa Econômica Aplicada - DF","19","",0
10,"J2T600000007","Universidade Kassel","20","",0
11,"985600190540","Centro de Gestão e Estudos Estratégicos","22","",0
12,"002300000991","Foundation for European Progressive Studies","23","",0
13,"045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","24","",0
14,"702500000000","Bard College","26","",0
15,"002500000995","Journal of Post Keynesian Economics","27","",0
16,"002800000990","Nova Economia (UFMG. Impresso)","30","",0
17,"003200000998","Spatial Economic Analysis","34","",0
18,"003300000990","Revista de Economia (Curitiba)","35","",0
19,"003500000993","Revista de Economia Contemporânea (Impresso)","37","",0
20,"003600000995","Análise Econômica (UFRGS)","38","",0
21,"003900000990","Economia e Sociedade (UNICAMP. Impresso)","41","",0
22,"004000000992","Revista de Economia Política (Impresso)","42","",0
23,"004100000994","Leituras de Economia Política (UNICAMP)","43","",0
24,"004200000996","Estudo & Debate (UNIVATES. Impresso)","44","",0
25,"002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","47","",0
26,"036000000001","Associação Nacional de Centros de Pós-Graduação em Economia","48","15",0
