NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id
"Pedro Paulo Zahluth Bastos","BASTOS, Pedro Paulo Zahluth","1","0827106277319544",0,,,,,,,,,,
"André Martins Biancareli","BIANCARELI, André Martins","2","6746804794811630",0,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",0,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",1,,,,,,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",1,,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",2,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",2,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",3,,,,,,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",3,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",4,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",4,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",5,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",5,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",6,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",6,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",7,,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",7,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",8,,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",8,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",9,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",9,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",10,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",10,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",11,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",11,,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",11,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",12,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",12,,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",12,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",13,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",13,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",14,,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",14,,,,,,,,,,
"Pedro Paulo Zahluth Bastos","BASTOS, Pedro Paulo Zahluth","1","0827106277319544",15,,,,,,,,,,
"André Martins Biancareli","BIANCARELI, André Martins","2","6746804794811630",15,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",15,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",16,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",16,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",17,,,,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",17,,,,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",17,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",18,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",19,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",19,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",20,,,,,,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","2","2245694745135834",20,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",20,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",21,,,,,,,,,,
"Camilla Ruocco","RUOCCO, C.","2","",21,,,,,,,,,,
"Everton S. T. Rosa","ROSA, E. S. T.","3","2245694745135834",21,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",22,,,,,,,,,,
"Luma Souza Ramos","RAMOS, L. S.","2","",22,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",23,,,,,,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","2","2245694745135834",23,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",23,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",24,,,,,,,,,,
"Luma Souza Ramos","RAMOS, L. S.","2","",24,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",25,,,,,,,,,,
"Luma Souza Ramos","RAMOS, L. S.","2","",25,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",26,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",26,,,,,,,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",27,,,,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",27,,,,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",27,,,,,,,,,,
"Alex Wilhans Palludeto","PALLUDETO, A. W.","4","",27,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","5","2014231776693159",27,,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",28,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",28,,,,,,,,,,
"Olivia Bullio Mattos","MATTOS, O. B.","3","",28,,,,,,,,,,
"Fernanda Ultremare","ULTREMARE, F.","4","",28,,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,0,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,1,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,1,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,2,,,,,,,,,
"José Valney de Brito","BRITO, José Valney de","2","2245694745135834",,2,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,2,,,,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,3,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,3,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,4,,,,,,,,,
"Pedro Paulo Zahluth Bastos","BASTOS, Pedro Paulo Zahluth","1","0827106277319544",,5,,,,,,,,,
"André Martins Biancareli","BIANCARELI, André Martins","2","6746804794811630",,5,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,5,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,6,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,7,,,,,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","2","2245694745135834",,7,,,,,,,,,
"Rogério Pereira de Andrade","ANDRADE, Rogério Pereira de","1","2245694745135834",,8,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,8,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,9,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,9,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,9,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,10,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,10,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,11,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,11,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,12,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,13,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,14,,,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,15,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,15,,,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",,15,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,16,,,,,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","2","2245694745135834",,16,,,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","3","2245694745135834",,16,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,17,,,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,17,,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,0,,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,0,,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,0,,,,,,,
"José Carlos de Souza Braga","BRAGA, José Carlos de Souza","1","2245694745135834",,,,1,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,1,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,2,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,2,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,,,2,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,3,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,3,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,4,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,4,,,,,,,
"Rubia Wegner","WEGNER, Rubia","3","2245694745135834",,,,4,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,5,,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,,,5,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,6,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,7,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,7,,,,,,,
"Paulo José Whitaker Wolf","WOLF, P. J. W.","3","2245694745135834",,,,7,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","1","2245694745135834",,,,8,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,8,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,9,,,,,,,
"Giuliano Contento de Oliveira","OLIVEIRA, G. C.","2","2245694745135834",,,,9,,,,,,,
"Geraldo di giovanni","GIOVANNI, G.","1","",,,,10,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,10,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,11,,,,,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","2","5136633901754773",,,,11,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,12,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","1","2245694745135834",,,,13,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,13,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,14,,,,,,,
"Ana Rosa Ribeiro Mendonça","MENDONÇA, Ana Rosa Ribeiro","2","2245694745135834",,,,14,,,,,,,
"Olívia Maria Bullio Mattos","MATTOS, O. M. B.","3","2245694745135834",,,,14,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,15,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,16,,,,,,,
"Adriana Nunes Ferreira","FERREIRA, Adriana Nunes","1","5136633901754773",,,,17,,,,,,,
"Simone Silva de Deos","DEOS, Simone","2","2014231776693159",,,,17,,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,0,,,,,,
"Rubia Wegner","WEGNER, Rubia","2","2245694745135834",,,,,0,,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,1,,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","1","6773853439066878",,,,,,0,,,,,
"José Valney de Brito","BRITO, José Valney de","2","2245694745135834",,,,,,0,,,,,
"Simone Silva de Deos","DEOS, Simone","3","2014231776693159",,,,,,0,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,1,,,,,
"Fernando Nogueira da Costa","COSTA, Fernando Nogueira da","2","6773853439066878",,,,,,1,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,2,,,,,
"Simone Silva de Deos","DEOS, Simone","1","2014231776693159",,,,,,3,,,,,
