NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","O desenvolvimento institucional do combate à lavagem de dinheiro no Brasil desde a Lei 9613/98","2003","Brasil","Português","","","",0
"Mestrado","ACADEMICO","As Restrições à Política Cambial num País com Moeda Inconversível: Uma Interpretação da Experiência Brasileira Recente de Apreciação Cambial (2003-2007)","2008","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Por uma concepção darwiniana de economia evolucionária: abordagens pioneiras, conflitos teóricos e propostas ontológicas","2009","Brasil","Português","","","",2
"Mestrado","ACADEMICO","O Programa Empregador de Última Instância: Sua Relevânca em Tempos de Crises Financeiras e Sua Aplicabilidade ao Brasil","2009","Brasil","Português","","","",3
"Mestrado","ACADEMICO","O Papel do BNB na Economia Nordestina Pós 1990","2010","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Limites da Arbitragem no Mercado de Capitais: Abordagem das Finanças Comportamentais","2010","Brasil","Português","","","",5
"Mestrado","ACADEMICO","O Padrão de Crescimento da Economia Norte Americana no período 1992-2007","2010","Brasil","Português","","","",6
"Mestrado","ACADEMICO","O Financiamento de Longo Prazo para a Integração na América do Sul e o Papel do BNDES","2011","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Infraestrutura Urbana da Região Metropolitana da Grande Vitória: o Caso da Serra","2011","Brasil","Português","","","",8
"Mestrado","ACADEMICO","O Banco do Sul, seus dilemas e os divergentes projetos de integração regional para a América do Sul","2012","Brasil","Português","","","",9
"Mestrado","ACADEMICO","O papel macroeconômico das famílias e a geração de fragilidade financeira","2012","Brasil","Português","","","",10
"Mestrado","ACADEMICO","O Banco do Brasil como banco público e banco comercial: mudança e continuidade no Governo Lula (2003-2010)","2012","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Integração monetária e financeira na América do Sul: a perspectiva brasileira em um sistema internacional multimonetário","2012","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Enigma do paradoxo chinês: uma análise","2013","Brasil","Português","","","",13
"Mestrado","ACADEMICO","Regulação estatal das relações de trabalho no capitalismo contemporâneo: uma crítica ao discurso da flexibilização e desregulamentação","2013","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Tackling youth unemployment in the European Union: In quest of Keynesian Imprints since 2000","2014","Brasil","Inglês","","","",15
"Mestrado","ACADEMICO","A financeirização d consumo: uma análise das modificações no consumo pessoal nos Estados Unidos na década de 1980 à crise financeira de 2007-2009","2014","Brasil","Português","","","",16
"Mestrado","ACADEMICO","A Hipótese da Instabilidade Financeira e o Encontro de Hyman Minsky com a Economia Brasileira: a experiência das empresas nacionais nos anos 2000 e o caso da Sadia na crise de 2007/2008","2014","Brasil","Português","","","",17
"Mestrado","ACADEMICO","The impact of Microfinance on Poverty Reduction in Montserrado County: a case study of Access Bank Liberia Limited, 2009-2012","2014","Brasil","Inglês","","","",18
"Mestrado","ACADEMICO","Repensando a integração sul-americana","2013","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Bancos públicos e suas funções: um estudo a partir da experiência recente da Caixa Econômica Federal no financiamento da habitação de interesse social","2017","Brasil","Português","","","",20
"Mestrado","ACADEMICO","Análise do financiamento das empresas de micro, pequeno e médio porte - lógica de atuação e distribuição regional do recursos creditícios do BNDES","2017","Brasil","Português","","","",21
"Mestrado","ACADEMICO","Sistema bancário e regulação no Brasil: reflexões a partir da crise financeira internacional e da adequação às Basileia III","2017","Brasil","Português","","","",22
"Mestrado","ACADEMICO","A crise financeira de 2008: uma interpretação teórica heterodoxa","2012","Brasil","Português","","","",23
