NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Encontro","Coordenador da Mesa 5: Desdobramentos da Crise Financeira de 2008 II","2012","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",1
"Encontro","Cooperação Financeira no Mercosul e o Financiamento do Investimento","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Encontro","Sessão 18: Teoria Econômica","2009","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",3
"Encontro","","1998","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",4
"Encontro","Facing the Crisis: Brazilian Central Bank and Public Banking System as Minskyan ?Big Banks?","2012","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",5
"Encontro","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",6
"Encontro","Sessão Especial: " As Repercussões da Crise Financeira Sobre a América Latina e o Brasil"","2009","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",7
"Encontro","","1996","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Encontro","","2008","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Encontro","Os bancos too big to fail nos Estados Unidos e a nova regulação: uma crítica a partir de Minsky","2015","Brasil","","NAO_INFORMADO","http://www.anpec.org.br/encontro/2015/submissao/files_I/i7-b3dae5a8e944e152d675164d76ec427c.pdf","NAO","Apresentação oral","Participante","","","NAO",10
"Encontro","Debatedora do trabalho Papel dos novos instrumentos de financiamento para as empresas de energia, de Helder Queiroz Pinto Jr. e Rogério Studart","2000","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",11
"Encontro","Da integração comercial e regionalismo aberto à cooperação financeira e regionalismo pós-liberal: o caso do Mercosul","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",12
"Encontro","Economia Internacional e Interpretações Pós-Keynesianas","2015","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",13
