NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Textos para Discussão","Meta inflacionária, juros e preços no varejo brasileiro","1999","Brasil","Português","IMPRESSO","http://www.eco.unicamp.br/publicacoes/textos/t82.html","NAO","","","","NAO",0
"Textos para Discussão","Juro a termo e ciclo de preço de ativos","1999","Brasil","Português","IMPRESSO","http://www.eco.unicamp.br/publicacoes/textos/t87.html","NAO","","","","NAO",1
"Artigos publicados em Sites da Internet","Avanços e recuos na política monetária","1999","Brasil","Português","IMPRESSO","http://www.10.amcham.com.br/bil","NAO","","","","NAO",2
"Artigos publicados em Sites da Internet","A volta do crédito","1999","Brasil","Português","IMPRESSO","http://www10.amcham.com.br/bil","NAO","","","","NAO",3
"Mimeografia","Fundos Constitucionais de Financiamento (FCO, FNO e FNE): análise Crítica, Avaliação da Situação e Diretrizes.","2007","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",4
"Boletim Economia Política Internacional: Análise estratégica","Editorial","2006","Brasil","Português","MEIO_DIGITAL","http://www.eco.unicamp.br/asp-scripts/boletim_ceri/boletim9.asp","NAO","","","","NAO",5
"Boletim Economia Política Internacional: Análise estratégica","Editorial","2006","Brasil","Português","MEIO_DIGITAL","http://www.eco.unicamp.br/asp-scripts/boletim_ceri/boletim8.asp","NAO","","","","NAO",6
"Textos para Discussão","Metas de Inflação: lições da Era Greenspan","2006","Brasil","Português","NAO_INFORMADO","http://www.eco.unicamp.br/publicacoes/textos/t121.html","NAO","","","","NAO",7
"Boletim Economia Política Internacional: Análise estratégica","Editorial: Os conflitos e as assimetrias da ordem financeira e comercial global","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",8
"Boletim Economia Política Internacional: Análise estratégica","Meta de inflação nos EUA: questão de tempo ou algumas outras questões?","2005","Brasil","Português","NAO_INFORMADO","http://www.eco.unicamp.br/asp-scripts/boletim_ceri/boletim4.asp","NAO","","","","NAO",9
"Boletim Economia Política Internacional: Análise estratégica","O Novo Acordo de Capital da Basiléia nos Estados Unidos","2005","Brasil","Português","NAO_INFORMADO","http://www.eco.unicamp.br/asp-scripts/boletim_ceri/boletim6.asp","NAO","","","","NAO",10
