DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"V.23 nº1","",9,,,,,,,,,
"Instituto de Economia da Unicamp, 8 páginas","",12,,,,,,,,,
"Texto para Discussão IE/UNICAMP - N.82. 1999","",,0,,,,,,,,
"Texto para Discussão IE/UNICAMP - N.87/1999","",,1,,,,,,,,
"Site Brazil Investment Link da Câmara Americana de Comércio - AMCHAM","",,2,,,,,,,,
"Site Brazil Investment Link da Câmara Americana de Comércio - AMCHAM","",,3,,,,,,,,
"Projeto de Pesquisa: Arquitetura Financeira Internacional","",,24,,,,,,,,
"Site Brazil Investment Link da Câmara Americana de Comércio - AMCHAM","",,35,,,,,,,,
"Dias 14 e 15/08/2012","",,,6,,,,,,,
"27 e 28 de junho de 2012","",,,,4,,,,,,
"Co-orientação. Orientador principal Prof. Dr. Giuliano Contento de Oliveira","",,,,,23,,,,,
"Suplente externo","",,,,,,3,,,,
"Membro suplente","",,,,,,6,,,,
"Membro suplente","",,,,,,8,,,,
"Suplente","",,,,,,9,,,,
"Orientador","",,,,,,10,,,,
"18 de maio de 2012","",,,,,,11,,,,
"Julho de 2012","",,,,,,12,,,,
"Suplente","",,,,,,23,,,,
"Membro Suplente","",,,,,,,0,,,
"Membro Suplente","",,,,,,,5,,,
"Membro Suplente","",,,,,,,8,,,
"Membro Suplente","",,,,,,,9,,,
"Membro suplente (30/07/2012)","",,,,,,,10,,,
"Banca em 22/08/2012","",,,,,,,,7,,
"Avaliação do Projeto de Monografia de Conclusão.","",,,,,,,,,2,
"Banca realizada em 16 e 17/06/2010","",,,,,,,,,,1
"Banca realizada de 04 a 08/10/2010","",,,,,,,,,,2
"Membro da Comissão Julgadora de Concurso realizado de 26 a 28/09/2011.","",,,,,,,,,,3
"Presidente da Banca","",,,,,,,,,,4
"Presidente da Comissão Julgadora","",,,,,,,,,,5
"Presidente da Comissão Julgadora","",,,,,,,,,,6
