SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"215","O papel dos bancos públicos nas economias contemporâneas","Trabalho de conclusão de curso de	graduação","",0
"216","O debate sobre o papel dos bancos públicos nas economias contemporâneas","Iniciação científica","",0
"232","O Financiamento do Comércio Exterior Brasileiro Pelo Banco do Brasil e Pelo BNDES: 1994-2006","Trabalho de conclusão de curso de	graduação","",0
"263","Papel do BNDES no Recente Processo de Internacionalização das Empresas Brasileiras","Trabalho de conclusão de curso de	graduação","",0
"303","O Papel dos Bancos Públicos Federais (CEF e BB) na Crise","Trabalho de conclusão de curso de	graduação","",0
"429","O papel dos bancos públicos como determinantes do spread bancário no Brasil","Trabalho de conclusão de curso de	graduação","",0
"285","Regulação do sistema bancário espanhol: Basileia II e crise financeira internacional","Iniciação científica","",1
"286","O debate sobre a regulação dos sistemas financeiros no âmbito de alguns fóruns de governança internacionais","Iniciação científica","",1
"287","Regulamentação bancária nos Estados Unidos: crise e propostas de mudanças","Iniciação científica","",1
"309","Uma avaliação da nova regulação para o sistema financeiro proposta em Basileia III","Trabalho de conclusão de curso de	graduação","",1
"328","O Impacto do Acordo de Basiléia III sobre o sistema bancário europeu: uma análise dos impactos através de estudos quantitativos","Trabalho de conclusão de curso de	graduação","",1
"332","Regulação Bancária na União Européia após a crise","Trabalho de conclusão de curso de	graduação","",1
"333","A integração monetária da União Europeia e a constituição do Banco Central Europeu","Trabalho de conclusão de curso de	graduação","",1
"334","BANCOS, ?SHADOW BANKS? E MOEDA ENDÓGENA: DESAFIOS À POLÍTICA MONETÁRIA DO FEDERAL RESERVE NO SÉCULO XXI","Tese de doutorado","",1
"341","Regulação do Sistema Financeiro dos EUA após a crise de 2007/2008","Trabalho de conclusão de curso de	graduação","",1
"344","Sistema financeiro chinês: caracterização e perspectivas de mudanças","Iniciação científica","",1
"435","Sistema Financeiro Chinês: caracterização, processo de internacionalização bancária e principais mudanças após a crise de 2008","Trabalho de conclusão de curso de	graduação","",1
"436","Rumo à União Bancária: o mecanismo único de supervisão do Banco Central Europeu (BCE)","Trabalho de conclusão de curso de	graduação","",1
"437","Integração Monetária na Zona do Euro: limites do arranjo regulatório na União Europeia e eficácia das políticas do Banco Central Europeu nos período 1992-2012","Tese de doutorado","",1
"334","BANCOS, ?SHADOW BANKS? E MOEDA ENDÓGENA: DESAFIOS À POLÍTICA MONETÁRIA DO FEDERAL RESERVE NO SÉCULO XXI","Tese de doutorado","",2
"437","Integração Monetária na Zona do Euro: limites do arranjo regulatório na União Europeia e eficácia das políticas do Banco Central Europeu nos período 1992-2012","Tese de doutorado","",2
"438","O Estado Financeirizado no Capitalismo Contemporâneo","Tese de doutorado","",2
"429","O papel dos bancos públicos como determinantes do spread bancário no Brasil","Trabalho de conclusão de curso de	graduação","",3
"434","The Impact of Microfinance on Poverty Reduction in Montserrado County: a case study of Access Bank Liberia Limited, 2009-2012","Dissertação de mestrado","",3
