OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA_Id
0,"29",0
1,"30",0
2,"37",0
3,"38",0
4,"104",0
5,"116",0
6,"117",0
7,"118",0
8,"119",0
9,"120",0
10,"121",0
11,"122",0
12,"123",0
13,"124",0
14,"136",0
15,"137",0
16,"143",0
17,"169",0
18,"173",0
19,"174",0
20,"191",0
21,"198",0
22,"275",0
23,"276",0
24,"277",0
25,"288",0
26,"321",0
27,"322",0
28,"323",0
29,"349",0
30,"400",0
31,"401",0
32,"481",0
33,"483",0
34,"513",0
35,"36",0
