PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,TRABALHO-EM-EVENTOS_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"REGULACAO BANCARIA, POLITICA MONETARIA,","","","","","",22,,,,,,,,,
"REGULACAO BANCARIA, POLITICA MONETARIA,","sistemas financieros, instabilidade financeira","","","","",24,,,,,,,,,
"financeirização","Economia Política","","","","",27,,,,,,,,,
"REGULACAO BANCARIA, POLITICA MONETARIA,","","","","","",28,,,,,,,,,
"REGULACAO BANCARIA, POLITICA MONETARIA,","Financiamento do Desenvolvimento","","","","",,16,,,,,,,,
"macroeconomia, economia keynesiana, moeda","REGULACAO BANCARIA, POLITICA MONETARIA,","","","","",,,34,,,,,,,
"Economia Política","macroeconomia, economia keynesiana, moeda","financeirização","","","",,,,5,,,,,,
"China","","","","","",,,,6,,,,,,
"Microfinanças","Liberia","","","","",,,,,3,,,,,
"Economia Política","","","","","",,,,,,0,,,,
"Financiamento do Desenvolvimento","desenvolvimento regional","","","","",,,,,,,21,,,
"REGULACAO BANCARIA, POLITICA MONETARIA,","","","","","",,,,,,,22,,,
"macroeconomia, economia keynesiana, moeda","","","","","",,,,,,,,17,,
"política monetária","sistema bancário brasileiro","","","","",,,,,,,,18,,
"REGULACAO BANCARIA, POLITICA MONETARIA,","","","","","",,,,,,,,,17,
"Estados de bem-estar social","","","","","",,,,,,,,,26,
"macroeconomia, economia keynesiana, moeda","","","","","",,,,,,,,,,0
"Economia Política","","","","","",,,,,,,,,,2
