PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"5",0
1,"32",0
2,"33",0
3,"58",0
4,"59",0
5,"83",0
6,"95",0
7,"103",0
8,"149",0
9,"162",0
10,"163",0
11,"164",0
12,"178",0
13,"230",0
14,"231",0
15,"244",0
16,"258",0
17,"259",0
18,"260",0
19,"261",0
20,"262",0
21,"302",0
22,"324",0
23,"325",0
24,"326",0
25,"327",0
26,"420",0
27,"421",0
28,"447",0
29,"448",0
30,"449",0
31,"456",0
32,"460",0
33,"487",0
34,"500",0
35,"96",0
