AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,
3,,,1,,,,,,,,,,,,
4,,,2,,,,,,,,,,,,
5,,,,0,,,,,,,,,,,
6,,,,1,,,,,,,,,,,
7,,,,2,,,,,,,,,,,
8,,,,,0,,,,,,,,,,
9,,,,,1,,,,,,,,,,
10,,,,,2,,,,,,,,,,
11,,,,,3,,,,,,,,,,
12,,,,,4,,,,,,,,,,
13,,,,,5,,,,,,,,,,
14,,,,,6,,,,,,,,,,
15,,,,,7,,,,,,,,,,
16,,,,,8,,,,,,,,,,
17,,,,,9,,,,,,,,,,
18,,,,,10,,,,,,,,,,
19,,,,,11,,,,,,,,,,
20,,,,,12,,,,,,,,,,
21,,,,,13,,,,,,,,,,
22,,,,,14,,,,,,,,,,
23,,,,,15,,,,,,,,,,
24,,,,,16,,,,,,,,,,
25,,,,,17,,,,,,,,,,
26,,,,,18,,,,,,,,,,
27,,,,,19,,,,,,,,,,
28,,,,,20,,,,,,,,,,
29,,,,,21,,,,,,,,,,
30,,,,,28,,,,,,,,,,
31,,,,,29,,,,,,,,,,
32,,,,,,0,,,,,,,,,
33,,,,,,1,,,,,,,,,
34,,,,,,2,,,,,,,,,
35,,,,,,3,,,,,,,,,
36,,,,,,4,,,,,,,,,
37,,,,,,5,,,,,,,,,
38,,,,,,7,,,,,,,,,
39,,,,,,8,,,,,,,,,
40,,,,,,9,,,,,,,,,
41,,,,,,10,,,,,,,,,
42,,,,,,11,,,,,,,,,
43,,,,,,12,,,,,,,,,
44,,,,,,13,,,,,,,,,
45,,,,,,14,,,,,,,,,
46,,,,,,15,,,,,,,,,
47,,,,,,18,,,,,,,,,
48,,,,,,21,,,,,,,,,
49,,,,,,22,,,,,,,,,
50,,,,,,25,,,,,,,,,
51,,,,,,,0,,,,,,,,
52,,,,,,,,1,,,,,,,
53,,,,,,,,2,,,,,,,
54,,,,,,,,,0,,,,,,
55,,,,,,,,,1,,,,,,
56,,,,,,,,,2,,,,,,
57,,,,,,,,,3,,,,,,
58,,,,,,,,,5,,,,,,
59,,,,,,,,,6,,,,,,
60,,,,,,,,,7,,,,,,
61,,,,,,,,,10,,,,,,
62,,,,,,,,,19,,,,,,
63,,,,,,,,,20,,,,,,
64,,,,,,,,,25,,,,,,
65,,,,,,,,,,1,,,,,
66,,,,,,,,,,,1,,,,
67,,,,,,,,,,,2,,,,
68,,,,,,,,,,,3,,,,
69,,,,,,,,,,,,0,,,
70,,,,,,,,,,,,2,,,
71,,,,,,,,,,,,4,,,
72,,,,,,,,,,,,5,,,
73,,,,,,,,,,,,6,,,
74,,,,,,,,,,,,7,,,
75,,,,,,,,,,,,14,,,
76,,,,,,,,,,,,16,,,
77,,,,,,,,,,,,17,,,
78,,,,,,,,,,,,22,,,
79,,,,,,,,,,,,23,,,
80,,,,,,,,,,,,,1,,
81,,,,,,,,,,,,,4,,
82,,,,,,,,,,,,,9,,
83,,,,,,,,,,,,,10,,
84,,,,,,,,,,,,,11,,
85,,,,,,,,,,,,,15,,
86,,,,,,,,,,,,,16,,
87,,,,,,,,,,,,,18,,
88,,,,,,,,,,,,,19,,
89,,,,,,,,,,,,,22,,
90,,,,,,,,,,,,,,0,
91,,,,,,,,,,,,,,1,
92,,,,,,,,,,,,,,2,
93,,,,,,,,,,,,,,,1
94,,,,,,,,,,,,,,,2
