ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"985600419629","Cristália Produtos Químicos e Farmacêuticos","1","7",0
1,"000200000993","Instituto de Química - UNICAMP","2","6",0
2,"000400000997","Journal of the Brazilian Chemical Society","3","",0
3,"565700000000","Max-Planck-Institut für Kohlenforschung","4","3",0
4,"985602000994","Instituto de Química - UNICAMP","5","4",0
5,"007900000004","Universidade Estadual de Campinas","6","5",0
6,"985604000991","Instituto de Química - UNICAMP","7","1",0
7,"126900000007","University of Cambridge","8","2",0
8,"037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","9","",0
9,"002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","10","",0
10,"001400000995","Applied and Environmental Microbiology (Online)","11","",0
11,"001600000999","Journal of Visualized Experiments (JoVE)","12","",0
12,"001700000990","PIBIC-UNICAMP","13","",0
13,"001900000994","Fundo de Apoio ao Ensino Pesquisa e Extensao","14","",0
