NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"SEMINARIO","Síntese Total da (+)-Crocacina D","2005","Brasil","Português","NAO","","","NAO",0
"SEMINARIO","Spirofungin B: a reassignment of Kiota's spiroketal","2005","Brasil","Português","NAO","","","NAO",1
"CONGRESSO","Biotransformação de derivados do 1,2,4-butanotriol","2008","Brasil","Português","NAO","","","NAO",2
"OUTRA","Searching for Polyketide and Nonribosomal Polypeptide Machineries in Brazilian Streptomyces strains","2008","Brasil","Inglês","NAO","","","NAO",3
"SEMINARIO","Evolução dirigida de enzimas utilizando mutagênese por saturação interativa","2008","Brasil","Português","NAO","","","NAO",4
"CONFERENCIA","Exploring the modularity and versatility of PKS and NRPS to obtain new bioactive compounds","2009","Brasil","Português","NAO","","","NAO",5
"SEMINARIO","Explorando a modularidade e versatilidade de PKS e NRPS para a obtenção de novas moléculas bioativas","2009","Brasil","Português","NAO","","","NAO",6
"OUTRA","Isolamento e Avaliação da Produção de Antibióticos por Linhagens de Streptomyces","2009","Brasil","Português","NAO","","","NAO",7
"OUTRA","Estudo das Condições Nutricionais e Avaliação da Produção de Policetídeos Macrolídicos Complexos por Linhagens de Streptomyces","2009","Brasil","Português","NAO","","","NAO",8
"OUTRA","Avaliação da Produção de Policetídeos Macrolídicos por Linhagens de Streptomyces sp. Isoladas no Território Nacional","2009","Brasil","Português","NAO","","","NAO",9
"CONFERENCIA","EXPLORING THE METABOLIC POTENCIAL FOR PRODUCING POLYKETIDES AND NONRIBOSOMAL POLYPEPTIDES IN BRAZILIAN STREPTOMYCES STRAINS","2010","Espanha","Inglês","NAO","","","NAO",10
"CONFERENCIA","Triagem por moléculas bioativas produzidas por Streptomyces endofíticas utilizando provas metabólicas","2010","Brasil","Português","NAO","","","NAO",11
"CONFERENCIA","A closer look into microscopic beings and their factories machineries","2010","Brasil","Inglês","NAO","","","NAO",12
"CONFERENCIA","Finding Potential Antibiotic Metabolites in Endophytic Streptomyces by Using Metabolic Probes","2010","Itália","Inglês","NAO","","","NAO",13
"CONFERENCIA","Evolução Dirigida de Enzimas: Pequenas Modificações, Melhores Catalisadores","2011","Brasil","Português","NAO","","","NAO",14
"CONFERENCIA","Actinomicetos: Microindústrias de moléculas bioativas","2011","Brasil","Português","NAO","","","NAO",15
"CONFERENCIA","Molecular Fingerprint in Actinomycetes","2011","Espanha","Inglês","NAO","","","NAO",16
"CONFERENCIA","Peptídeos microbianos não-ribossomais e ribossomais","2013","Brasil","Português","NAO","","","NAO",17
"CONFERENCIA","Genome mining como ferramenta para desvendar microindústrias de moléculas bioativas","2013","Brasil","Português","NAO","","","NAO",18
"CONFERENCIA","Ionophore poliether hydrolases-cyclases shows high activity and wide-ranging substrate acceptance as epoxide-hydrolases","2014","Brasil","Inglês","NAO","","","NAO",19
"CONFERENCIA","Mulheres na Ciência e o Universo das Moléculas Pequenas: Uma Visão Pessoal","2015","Brasil","Português","NAO","","","SIM",20
"CONFERENCIA","MINING ENZYMES AND METABOLITES IN BRAZILIAN STREPTOMYCES","2015","Brasil","Português","NAO","","","NAO",21
"SEMINARIO","MINING ENZYMES AND METABOLITES IN BRAZILIAN STREPTOMYCES","2015","Brasil","Português","NAO","","","NAO",22
"SIMPOSIO","HUMBOLDT COLLOQUIUM - Research Excellence in a Globalised World - Experiences and Challenges from a Brazilian-German Perspective, Alexander von Humboldt Foundation","2015","Brasil","Português","NAO","","","NAO",23
"CONGRESSO","XXXI ANNUAL MEETING ON EVOLUTION, SYSTEMATICS AND MICROMOLECULAR ECOLOGY (RESEM) / 5th BRAZILIAN CONFERENCE ON NATURAL PRODUCTS (BCNP)","2015","Brasil","Inglês","NAO","","","NAO",24
"SEMINARIO","Síntese Total da (+)-Crocacina C. Estudos Visando as Sínteses Totais da Crocacina D e das Espirofunginas A e B","2004","Brasil","Português","NAO","","","NAO",25
