NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
"COMPLETO","Total Synthesis of (+)-Crocacin C","2001","","Inglês","IMPRESSO","[http://pubs.acs.org]","NAO","10.1021/ol016845c","Total Synthesis of (+)-Crocacin C","NAO",0
"COMPLETO","Total Synthesis of (-)-Pironetin","2003","","Inglês","VARIOS","[http://pubs.acs.org][doi:10.1021/ol027211o]","NAO","10.1021/ol027211o","","NAO",1
"COMPLETO","TOPS-MODE based QSARs derived from heterogeneous series of compounds. Applications to the design of new anti-inflammatory compounds","2004","","Inglês","VARIOS","[http://www.sciencedirect.com][doi:10.1016/j.bmc.2004.05.035]","NAO","10.1016/j.bmc.2004.05.035","","NAO",2
"COMPLETO","Total Synthesis of (+)-Crocacin D","2005","","Inglês","VARIOS","[http://pubs.acs.org/cgi-bin/article.cgi/joceah/2005/70/i06/pdf/jo047732k.pdf]","NAO","10.1021/jo047732k","","NAO",3
"COMPLETO","Total Synthesis of the Potent Immunosuppressant (-)-Pironetin","2005","","Inglês","VARIOS","[http://www.arkat-usa.org/arkivoc-journal/browse-arkivoc/2005/6/6]","NAO","","Total Synthesis of the Potent Immunosuppressant (-)-Pironetin","NAO",4
"COMPLETO","Spirofungins A and B: a reassignment of Kiyota's spiroketals","2006","","Inglês","VARIOS","[http://www.sciencedirect.com]","NAO","10.1016/j.tetlet.2006.01.153","","NAO",5
"COMPLETO","Recent results toward the stereoselective synthesis of biologically active natural products","2007","","Inglês","VARIOS","[http://iupac.org/publications/pac/new/issue?volume=79&issue=2][doi:10.1351/pac200779020163]","NAO","10.1351/pac200779020163","","NAO",6
"COMPLETO","Short Synthesis of the 6,6-Spiroketal Cores of Spirofungin A and B","2004","","Inglês","VARIOS","[http://pubs.acs.org/cgi-bin/article.cgi/orlef7/2004/6/i15/pdf/ol0491078.pdf]","NAO","10.1021/ol0491078","","NAO",7
"COMPLETO","1,2-octanediol deracemization by stereoinversion using whole cells","2008","","Inglês","VARIOS","[http://www.sciencedirect.com/science/journal/13811177][doi:10.1016/j.molcatb.2007.11.022]","NAO","10.1016/j.molcatb.2007.11.022","","NAO",8
"COMPLETO","Whole cell quick E for epoxide hydrolase screening using fluorescent probes","2008","","Inglês","VARIOS","[http://dx.doi.org/10.1016/j.molcatb.2007.12.013]","NAO","10.1016/j.molcatb.2007.12.013","","NAO",9
