DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Neste trabalho é descrita a síntese total da Crocacina C, por uma rota convergente e assimétrica. Esta rota baseia-se no uso de uma reação de epoxidação régio- e diastereosseletiva de um álcool alílico com m-CPBA seguida por uma reação de abertura de epóxido com Me2CuCNLi2 e uma reação de acoplamento de Stille entre uma vinilestanana-E e um iodeto vinílico E para formação da dienamida (E,E).","The total synthesis of (+)-crocacin C is described. The convergent asymmetric synthesis relies on the use of a regio- and diastereoselective epoxidation of an allylic alcohol with m-CPBA followed by epoxide opening with Me2CuCNLi2 and a Stille cross-coupling between E-vinyl stannane and E-vinyl iodide to establish the (E,E)-dienamide moiety.",0,,,,,,,,
"Este trabalho descreve a síntese total do agente imunossupresor Pironetin, o qual apresenta atividades como regulador de crescimento de plantas, imunossupressora e antitumoral. A aproximação utilizada envolve três reações aldólicas para obtenção dos centros assimétricos consecutivos com estereoquímica relativa syn mediadas por oxazolidinonas de Evans e um acoplamento entre um acetileto de lítio e um tosilato, seguido por metilação e redução seletiva para estabelecer a dupla ligação com geometria E entre os carbonos C12-C13.","",1,,,,,,,,
"Este trabalho relata as sínteses totais assimétricas das (+)-crocacinas C e D. A síntese total da crocacina C é altamente convergente, utiliza como etapas chave uma reação de epoxidação régio- e diastereosseletiva de um álcool alílico com m-CPBA seguida pela abertura do epóxido com Me2CuCNLi2 e uma reação de acoplamento cruzado de Stille entre uma (E)-vinilestanana e um (E)-iodeto vinílico para estabelecer a porção (E,E)-dienamida. A síntese total da (+)-crocacina D utiliza uma reação branda e eficiente catalisada por cobre para unir os fragmentos representados pela (+)-crocacina C e o iodeto vinílico-(Z).","",3,,,,,,,,
"","A convergent and efficient total synthesis of (-)-pironetin, a compound that shows plant growth regulatory activity, and is immunosuppressive as well as having remarkable antitumoral activity,
is described. The synthesis required 19 steps from N-propionyl oxazolidinone and produced
the desired product in 11% overall yield.",4,,,,,,,,
"Este artigo descreve uma alternativa sintética para a obtenção dos espirocetais dos antibióticos antifúngicos espirofunginas A e B. Com este objetivo os fragmentos 6,6-espirocetal (fragmento C9-C20) de ambos os compostos foram construídos por uma rota curta e eficiente. Esta aproximação assimétrica utiliza uma reação de alquilação de uma N,N-dimetil-hidrazona litiada seguida por reação de espirociclização em meio ácido.","",7,,,,,,,,
"This paper describes the stereoinversion of (R)-1,2-octanediol promoted by Aspergillus
niger CCT 1435 and Candida albicans CCT 0776 from Brazilian collections. Racemic
1,2-octanediol can be converted into (S)-1,2-octanediol with 70 % isolated yield and 99
% e.e. in 10 h using Candida albicans. This is one of the best results in the literature
and on-going experiments indicate that the reaction rate can be further accelerated.","",8,,,,,,,,
"We describe herein a modified quick E to access the enantioselectivity (E) of epoxide hydrolases using chiral fluorogenic probes. Accessing the true E values of the same biocatalytic reaction with chiral HPLC validated this methodology.","",9,,,,,,,,
"TOTAL SYNTHESIS OF CROCACINS A, C AND D: NEW ANTIBIOTICS ISOLATED FROM Chondromyces crocatus AND Chondromyces pediculatus. This review describes the endeavors that led to the total synthesis of a novel class of antibiotic compounds: the crocacins A-D. Other aspects such as isolation, structural elucidation as well as the biological activities are also presented.","TOTAL SYNTHESIS OF CROCACINS A, C AND D: NEW ANTIBIOTICS ISOLATED FROM Chondromyces crocatus AND Chondromyces pediculatus. This review describes the endeavors that led to the total synthesis of a novel class of antibiotic compounds: the crocacins A-D. Other aspects such as isolation, structural elucidation as well as the biological activities are also presented.",10,,,,,,,,
"Neste artigo são apresentadas as principais contribuições da biotecnologia e dos processos catalíticos biológicos para o avanço da Química, principalmente em vertentes nas quais as metodologias químicas e quimiocatalisadas não possuem uma alternativa satisfatória e eficiente para aplicação industrial. Serão apresentadas as principais etapas de evolução dentro das transformações enzimáticas, suas aplicações e perspectivas de exploração no ambiente acadêmico e na indústria, em busca da solução ideal: integração entre a química, conversão enzimática e fermentação. É importante considerar que a biotecnologia é ainda uma área de pesquisa em plena ascensão e o desenvolvimento de metodologias robustas deverá possibilitar uma interação fina entre estes setores.","In a moment that amazingly advances are being reached on the development of technologies to obtain high value chemical compounds as polymers, fine chemicals, pharmaceutical industry intermediates and chemical entities, we cannot refuse that a meaningful progress is due to the maturing in knowledge of biological transformations. Biocatalysis and biotransformations are being widespread applied to generate processes and products with incredible success. In this review article we present the main contributions of biotechnology and biological catalytic processes to Chemistry, the most important evolution steps on enzymatic transformations, how it has being applied and which are the perspectives to academic and industrial environments. We also would like to stimulate the community to step out research in biotechnology applicable to chemical and pharmaceutical industries, trying to achieve what we believe to be the ideal layout: integrating chemical transformations, enzymatic conversions and fermentation processes.",11,,,,,,,,
"The absolute configuration of cis-epoxyjasmone (&#8722;)-2, isolated from Trichosporum cutaneum CCT 1903 whole cells, has been unambiguously established as (7S,8R), [alpha]D 20 &#8722;29.0&#9702; (c 1.3, CHCl3),by a new two step method, using a regioselective epoxide opening as the key step followed by Mosher acid derivatization.","",12,,,,,,,,
