PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Agente Imunossupressor","Agente antitumoral","Condensação Aldólica","Regulador de Crescimento de plantas","","",0,,,,,,,,,,,,,
"policetídeos","espirocetais","Síntese Total","agente antifúngico","Agente antitumoral","",,0,,,,,,,,,,,,
"termoestabilidade","enantiosseletividade","Evolução Dirigida","Combinatorial Active-Site Saturation Test","","",,,0,,,,,,,,,,,
"genome mining","policetídeos","Peptídeos não-ribossomais","Terpenos","","",,,1,,,,,,,,,,,
"Evolução Dirigida","Biocatálise","epóxido-hidrolases","","","",,,2,,,,,,,,,,,
"Agente antitumoral","Condensação Aldólica","Regulador de Crescimento de plantas","","","",,,,0,,,,,,,,,,
"Agente antitumoral","Condensação Aldólica","Regulador de Crescimento de plantas","Agente Imunossupressor","","",,,,1,,,,,,,,,,
"Fotodegradação","Estudo Cinético","","","","",,,,2,,,,,,,,,,
"Total Synthesis","Stille coupling","Antifungic","Aldol reaction","","",,,,3,,,,,,,,,,
"Aldol reaction","Total Synthesis","Immunosuppresive activity","plant growth regulatory","Antitumoral activity","",,,,4,,,,,,,,,,
"spiroketal","Antifungic Activity","Poliketide Antibiotics","","","",,,,5,,,,,,,,,,
"espirocetais","agente antifúngico","policetídeos","","","",,,,6,,,,,,,,,,
"Agente antitumoral","agente antifúngico","policetídeos","espirocetais","","",,,,7,,,,,,,,,,
"agente antifúngico","Síntese Total","(Z)-enamida","(Z)-vinil iodeto","","",,,,8,,,,,,,,,,
"spiroketal","Reassignment of stereochemistry","","","","",,,,9,,,,,,,,,,
"Biocatalyst Activity","Whole Cells","Fluorescence-Based Assays","","","",,,,10,,,,,,,,,,
"Pseudomonas stutzeri","epóxido-hidrolases","Halomonas sp","","","",,,,11,,,,,,,,,,
"Lipases","Esterases","Dietzia sp","","","",,,,12,,,,,,,,,,
"epóxido-hidrolases","Triagem de alto desempenho","","","","",,,,13,,,,,,,,,,
"Fluorogenic probes","Brazilian microorganisms","Hydrolitic enzymes","7-hydroxicoummarin","","",,,,14,,,,,,,,,,
"Fluorogenic probes","Brazilian microorganisms","7-hydroxicoummarin","Monooxigenases","","",,,,15,,,,,,,,,,
"Fluorescence-Based Assays","Brazilian microorganisms","High Throughput Screening","","","",,,,16,,,,,,,,,,
"Lipases","Esterases","Triagem de alto desempenho","","","",,,,17,,,,,,,,,,
"epóxido-hidrolases","óxido-redutases","1,2,4-butanotriol","estereoconvergência","","",,,,18,,,,,,,,,,
"epóxido-hidrolases","Fluorescence-Based Assays","Quick E","","","",,,,19,,,,,,,,,,
"Biocatalyst Activity","Stereoinversion","Chiral Building Blocks","","","",,,,20,,,,,,,,,,
"Directed Evolution","Enantioselectivity","Library Creation","Lipase Activity","Combinatorial Active-Site Saturation Test","",,,,21,,,,,,,,,,
"Agente antitumoral","Regulador de Crescimento de plantas","Condensação Aldólica","Agente Imunossupressor","","",,,,29,,,,,,,,,,
"Stille coupling","Total Synthesis","Antifungic Activity","","","",,,,,0,,,,,,,,,
"Plant growth regulatory activity","Immunosuppresive activity","Antitumoral activity","Aldol reaction","Total Synthesis","",,,,,1,,,,,,,,,
"TOPological Sub-structural MOlecular DEsign","anti-inflammatory discovery","","","","",,,,,2,,,,,,,,,
"Antifungic Activity","Total Synthesis","Crocacins A-D","","","",,,,,3,,,,,,,,,
"Agente Imunossupressor","Síntese Total","Reação aldólica","Regulador de Crescimento de plantas","","",,,,,4,,,,,,,,,
"Spirofungins A and B","Reassignment of stereochemistry","","","","",,,,,5,,,,,,,,,
"Antibióticos policetídicos","espirocetais","Espirofunginas A e B","","","",,,,,7,,,,,,,,,
"deracemization","estereoinversion","epoxide hydrolases","","","",,,,,8,,,,,,,,,
"Quick E","epoxide hydrolases","Enantioselectivity","Whole Cells","High Throughput Screening","",,,,,9,,,,,,,,,
"Crocacins A-D","Novel antibiotics","enantioselective total synthesis","","","",,,,,10,,,,,,,,,
"Biocatalysis","Biotransformation","chemistry and biology integration","","","",,,,,11,,,,,,,,,
"Biocatalysis","epoxyjasmone","absolute configuration","","","",,,,,12,,,,,,,,,
"Directed Evolution","expression system","Pichia pastoris","saturation mutagenesis","","",,,,,13,,,,,,,,,
"soil bacteria","miniaturized screening with fluorescent probes","Esterases","","","",,,,,14,,,,,,,,,
"Actinobactéria","whole genome sequencing","genome mining","","","",,,,,15,,,,,,,,,
"Oil reservoirs","Alcohol dehydrogenases","Monooxygenases","Hydrolases","High-throughput screening","",,,,,16,,,,,,,,,
"biosynthesis","dehydratase","ionophore","Polyketides","spiroacetals","",,,,,17,,,,,,,,,
"endophytic actinobacteria","molecular fingerprint","Polyketides","nonribosomal peptide","genome mining","",,,,,18,,,,,,,,,
"Actinobactéria","sideróforos","desorption electrospray ionization","","","",,,,,20,,,,,,,,,
"biosynthesis","Poliketide Antibiotics","salinomycin","pyrane synthase","","",,,,,21,,,,,,,,,
"genome mining","whole genome sequencing","molecular networking","Streptomyces","antibiotic activity","",,,,,22,,,,,,,,,
"natural products","Molecular Biology","chemical ecology","genome mining","","",,,,,25,,,,,,,,,
"Actinobactéria","genome mining","whole genome sequencing","","","",,,,,,0,,,,,,,,
"Actinobactéria","epoxide hydrolases","","","","",,,,,,,1,,,,,,,
"Antimicrobial activity","genome mining","valinomycin","","","",,,,,,,2,,,,,,,
"Síntese Total","Crocacinas A-D","Acoplamento de Stille","(Z)-enamida","","",,,,,,,,0,,,,,,
"Reassignment of stereochemistry","spiroketal","Conformational Analysis","Anomeric Effect","","",,,,,,,,1,,,,,,
"biotransformação","1,2,4-butanotriol","estereoinversão","","","",,,,,,,,2,,,,,,
"combinatorial biosynthesis","Poliketide Antibiotics","poliketide gene cluster","non-ribosomal peptide gene cluster","","",,,,,,,,3,,,,,,
"combinatorial biosynthesis","Novel antibiotics","Poliketide Antibiotics","Streptomyces","","",,,,,,,,5,,,,,,
"biossíntese combinatorial","Streptomyces","policetídeos macrolídicos reduzidos","policetídeo sintases","Peptídeos não-ribossomais","",,,,,,,,6,,,,,,
"Streptomyces","Atividade Antibiótica","Isolamento e Triagem","","","",,,,,,,,7,,,,,,
"Atividade Antibiótica","Streptomyces","","","","",,,,,,,,8,,,,,,
"Antibióticos policetídicos","Atividade Antibiótica","Streptomyces","","","",,,,,,,,9,,,,,,
"Streptomyces","Antimicrobial activity","Polyketides","Polypeptides","","",,,,,,,,10,,,,,,
"Streptomyces","Antimicrobial activity","Polyketides","Polypeptides","","",,,,,,,,12,,,,,,
"Streptomyces","Antimicrobial activity","Polyketides","Polypeptides","","",,,,,,,,13,,,,,,
"Evolução Dirigida","","","","","",,,,,,,,14,,,,,,
"Actinomicetos","Actinobactéria","policetídeos","Peptídeos não-ribossomais","genome mining","",,,,,,,,15,,,,,,
"Actinobactéria","Peptídeos não-ribossomais","policetídeos","gene cluster analysis","","",,,,,,,,16,,,,,,
"polyether hydrolases-cyclases","epoxide hydrolases","adrenaline assay and fingerprint","B-enzymes","","",,,,,,,,19,,,,,,
"mulheres na ciência","parvoma","Streptomyces","","","",,,,,,,,20,,,,,,
"Antibióticos policetídicos","Agente antitumoral","Crocacins A-D","Espirofunginas A e B","Síntese Total","",,,,,,,,25,,,,,,
"natural products","biosynthesis","","","","",,,,,,,,,1,,,,,
"epóxido-hidrolases","Streptomyces","biocatalisadores enantiosseletivos","","","",,,,,,,,,,1,,,,
"tiopeptides","lantipeptides","genome mining","whole genome sequencing","","",,,,,,,,,,2,,,,
"biotecnologia","policetídeo sintases","Peptídeos não-ribossomais","","","",,,,,,,,,,3,,,,
"Agente Imunossupressor","Reação aldólica","produtos naturais","","","",,,,,,,,,,,0,,,
"Crocacinas A-D","Síntese Total","(Z)-enamida","","","",,,,,,,,,,,2,,,
"policetídeos macrolídicos reduzidos","produtos naturais","biossíntese combinatorial","","","",,,,,,,,,,,4,,,
"monômeros petroquímicos","biotecnologia","Evolução Dirigida","","","",,,,,,,,,,,5,,,
"Streptomyces","policetídeos macrolídicos reduzidos","policetídeo sintases","","","",,,,,,,,,,,6,,,
"Antibióticos policetídicos","policetídeo sintases","Streptomyces","","","",,,,,,,,,,,7,,,
"Streptomyces","óxido-redutases","Lipases","Esterases","","",,,,,,,,,,,14,,,
"epóxido-hidrolases","Streptomyces","biocatalisadores quimiosseletivos","biocatalisadores enantiosseletivos","","",,,,,,,,,,,16,,,
"Peptídeos não-ribossomais","genome mining","","","","",,,,,,,,,,,17,,,
"Streptomyces","poliketide gene cluster","Polypeptides","","","",,,,,,,,,,,22,,,
"Streptomyces","policetídeos macrolídicos reduzidos","Antibióticos policetídicos","","","",,,,,,,,,,,23,,,
"espirocetais","agente antifúngico","policetídeos","","","",,,,,,,,,,,,1,,
"agente antifúngico","Síntese Total","Stille coupling","(Z)-enamida","(Z)-vinil iodeto","",,,,,,,,,,,,4,,
"agente antifúngico","espirocetais","policetídeos","Reação aldólica","","",,,,,,,,,,,,9,,
"Poliketide Antibiotics","spiroketal","Aldol reaction","antibiotic activity","Antifungic Activity","",,,,,,,,,,,,10,,
"Agente Imunossupressor","Regulador de Crescimento de plantas","Reação aldólica","policetídeos","","",,,,,,,,,,,,11,,
"agente antifúngico","Reação aldólica","(Z)-vinil iodeto","(Z)-enamida","Acoplamento de Stille","",,,,,,,,,,,,15,,
"epóxido-hidrolases","Triagem de alto desempenho","","","","",,,,,,,,,,,,16,,
"Agente Imunossupressor","Regulador de Crescimento de plantas","Reação aldólica","policetídeos","","",,,,,,,,,,,,18,,
"Agente Imunossupressor","Regulador de Crescimento de plantas","Reação aldólica","policetídeos","","",,,,,,,,,,,,19,,
"Agente Imunossupressor","Regulador de Crescimento de plantas","Reação aldólica","Antibióticos policetídicos","","",,,,,,,,,,,,22,,
"Síntese Total","Reação aldólica","espirocetais","policetídeos","agente antifúngico","(Z)-enamida",,,,,,,,,,,,,0,
"Reassignment of stereochemistry","spiroketal","","","","",,,,,,,,,,,,,1,
"Síntese Total","agente antifúngico","(Z)-enamida","(Z)-vinil iodeto","","",,,,,,,,,,,,,2,
"thiazol(in)","oxazol(in)","azole-containing peptides","combinatorial biosynthesis","","",,,,,,,,,,,,,,1
"genome mining","Expressão heteróloga","Streptomyces","","","",,,,,,,,,,,,,,2
