NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",0,,,
"Leandro Helgueira de Andrade","ANDRADE, L. H.","1","",0,,,
"Cintia Duarte de Freitas Milagre","MILAGRE, C. D. F.","2","",0,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",1,,,
"Paulo José Samenho Moran","Moran, P. J. S.","2","",1,,,
"Cintia Duarte de Freitas Milagre","MILAGRE, C. D. F.","1","",1,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",2,,,
"Claudio Francisco Tormena","TORMENA, C. F.","1","",2,,,
"Antonio Gilberto Ferreira","FERREIRA, A. G.","2","",2,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",3,,,
"Fabio Cesar Gozzo","Gozzo, F. C.","2","",3,,,
"Monica Tallarico Pupo","PUPO, M. T.","3","",3,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",4,,,
"Anete Pereira de Souza","Souza, A. P.","2","",4,,,
"Ljubica Tassic","TASSIC, L.","3","",4,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",5,,,
"Fabio Cesar Gozzo","Gozzo, F. C.","3","",5,,,
"Maria Fátima das Graças Fernandes da Silva","SILVA, M. F. G. F.","2","",5,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",6,,,
"Ljubica Tassic","TASSIC, L.","1","",6,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",7,,,
"José Augusto Rosário Rodrigues","Rodrigues JAR","1","",7,,,
"Hiroshi Aoyama","AOYAMA, H.","2","",7,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",,0,,
"José Augusto Rosário Rodrigues","Rodrigues JAR","3","",,0,,
"Paulo José Samenho Moran","Moran, P. J. S.","1","",,0,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",,1,,
"Massuo Jorge Kato","Kato, M. J.","2","",,1,,
"Sayuri Miyamoto","MIYAMOTO, S.","3","",,1,,
"Walmir Silva Garcez","GARCEZ, W. S.","4","",,1,,
"Ian Castro-Gamboa","CASTRO-GAMBOA, I.","5","",,1,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","4","",,2,,
"Edson Rodrigues Filho","RODRIGUES FILHO, E.","1","",,2,,
"Dulce Helena Ferreira de Souza","SOUZA, D. H. F.","2","",,2,,
"Maysa Furlan","FURLAN, M.","3","",,2,,
"Maria das Graças das G. F. da Silva","SILVA, M. G. G. F.","5","",,2,,
"Luciana Gonzaga de Oliveira","OLIVEIRA, LUCIANA GONZAGA DE","4","",,3,,
"Roberto Gomes de Souza berlinck","BERLINCK, R. G. S.","1","",,3,,
"Antônio Aprigio da Silva Curvelo","CURVELO, A. A. S.","2","",,3,,
"Octavio Henrique Thiemann","THIEMANN, O. H.","5","",,3,,
"Daniel Rodrigues Cardoso","CARDOSO, D. R.","3","",,3,,
"Luciana Gonzaga de Oliveira","OLIVEIRA, LUCIANA GONZAGA DE","5","",,4,,
"Maysa Furlan","FURLAN, M.","1","",,4,,
"Isabele Rodrigues Nascimento","NASCIMENTO, I. R.","2","",,4,,
