SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",0,,,,,,,,,,,
"Fabricação de Produtos Químicos","Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos",,0,,,,,,,,,,
"Produtos e Processos Biotecnológicos","Fabricação de Catalisadores","",,,0,,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","Fabricação de Catalisadores",,,1,,,,,,,,,
"Produtos e Processos Biotecnológicos","Fabricação de Catalisadores","",,,2,,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,0,,,,,,,,
"Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos","",,,,1,,,,,,,,
"Educação Média de Formação Geral","Educação Superior","",,,,2,,,,,,,,
"Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Químicos",,,,3,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,4,,,,,,,,
"Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Outros Produtos Químicos",,,,5,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","Fabricação de Outros Produtos Químicos",,,,6,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","Fabricação de Outros Produtos Químicos",,,,7,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,8,,,,,,,,
"Fabricação de Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,9,,,,,,,,
"Produtos e Processos Biotecnológicos","Fabricação de Produtos Químicos Orgânicos","",,,,10,,,,,,,,
"Fabricação de Catalisadores","Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos",,,,11,,,,,,,,
"Fabricação de Catalisadores","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,12,,,,,,,,
"Fabricação de Catalisadores","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,13,,,,,,,,
"Fabricação de Catalisadores","Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos",,,,14,,,,,,,,
"Fabricação de Catalisadores","Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos",,,,15,,,,,,,,
"Produtos e Processos Biotecnológicos","Fabricação de Produtos Químicos","Fabricação de Produtos Químicos Orgânicos",,,,16,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Catalisadores","Produtos e Processos Biotecnológicos",,,,17,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Catalisadores","Produtos e Processos Biotecnológicos",,,,18,,,,,,,,
"Fabricação de Catalisadores","Fabricação de Produtos Químicos Orgânicos","",,,,19,,,,,,,,
"Produtos e Processos Biotecnológicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Catalisadores",,,,20,,,,,,,,
"Produtos e Processos Biotecnológicos","Fabricação de Catalisadores","Fabricação de Produtos Químicos Orgânicos",,,,21,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,29,,,,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,,0,,,,,,,
"Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos","",,,,,1,,,,,,,
