AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,,,,,,,,,
3,,,,2,,,,,,,,,,,,,,,,,,,
4,,,,3,,,,,,,,,,,,,,,,,,,
5,,,,4,,,,,,,,,,,,,,,,,,,
6,,,,,0,,,,,,,,,,,,,,,,,,
7,,,,,2,,,,,,,,,,,,,,,,,,
8,,,,,,0,,,,,,,,,,,,,,,,,
9,,,,,,,0,,,,,,,,,,,,,,,,
10,,,,,,,1,,,,,,,,,,,,,,,,
11,,,,,,,,10,,,,,,,,,,,,,,,
12,,,,,,,,12,,,,,,,,,,,,,,,
13,,,,,,,,14,,,,,,,,,,,,,,,
14,,,,,,,,15,,,,,,,,,,,,,,,
15,,,,,,,,16,,,,,,,,,,,,,,,
16,,,,,,,,18,,,,,,,,,,,,,,,
17,,,,,,,,19,,,,,,,,,,,,,,,
18,,,,,,,,,3,,,,,,,,,,,,,,
19,,,,,,,,,6,,,,,,,,,,,,,,
20,,,,,,,,,,7,,,,,,,,,,,,,
21,,,,,,,,,,8,,,,,,,,,,,,,
22,,,,,,,,,,10,,,,,,,,,,,,,
23,,,,,,,,,,12,,,,,,,,,,,,,
24,,,,,,,,,,14,,,,,,,,,,,,,
25,,,,,,,,,,16,,,,,,,,,,,,,
26,,,,,,,,,,19,,,,,,,,,,,,,
27,,,,,,,,,,27,,,,,,,,,,,,,
28,,,,,,,,,,28,,,,,,,,,,,,,
29,,,,,,,,,,29,,,,,,,,,,,,,
30,,,,,,,,,,30,,,,,,,,,,,,,
31,,,,,,,,,,31,,,,,,,,,,,,,
32,,,,,,,,,,32,,,,,,,,,,,,,
33,,,,,,,,,,35,,,,,,,,,,,,,
34,,,,,,,,,,37,,,,,,,,,,,,,
35,,,,,,,,,,38,,,,,,,,,,,,,
36,,,,,,,,,,39,,,,,,,,,,,,,
37,,,,,,,,,,40,,,,,,,,,,,,,
38,,,,,,,,,,60,,,,,,,,,,,,,
39,,,,,,,,,,61,,,,,,,,,,,,,
40,,,,,,,,,,89,,,,,,,,,,,,,
41,,,,,,,,,,90,,,,,,,,,,,,,
42,,,,,,,,,,98,,,,,,,,,,,,,
43,,,,,,,,,,107,,,,,,,,,,,,,
44,,,,,,,,,,108,,,,,,,,,,,,,
45,,,,,,,,,,110,,,,,,,,,,,,,
46,,,,,,,,,,,0,,,,,,,,,,,,
47,,,,,,,,,,,1,,,,,,,,,,,,
48,,,,,,,,,,,,14,,,,,,,,,,,
49,,,,,,,,,,,,,1,,,,,,,,,,
50,,,,,,,,,,,,,,0,,,,,,,,,
51,,,,,,,,,,,,,,1,,,,,,,,,
52,,,,,,,,,,,,,,3,,,,,,,,,
53,,,,,,,,,,,,,,,2,,,,,,,,
54,,,,,,,,,,,,,,,6,,,,,,,,
55,,,,,,,,,,,,,,,7,,,,,,,,
56,,,,,,,,,,,,,,,10,,,,,,,,
57,,,,,,,,,,,,,,,,1,,,,,,,
58,,,,,,,,,,,,,,,,2,,,,,,,
