NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id
"Graduação","Programas de desenvolvimento econômico e urbano na Zona Leste","2005","Brasil","Português","","","",0
"Graduação","O espaço, o discurso e os cantos residuais: o caso do conjunto José Bonifácio","2006","Brasil","Português","","","",1
"Graduação","Pensando a Cidade no Século XXI: O Concurso Bairro Novo em São Paulo","2006","Brasil","Português","","","",2
"Graduação","As formas de ocupação na fronteira urbana dos bairros ao redor do Centro de São Paulo","2009","Brasil","Português","","","",3
"Graduação","A cidade como um canteiro de negócios. A produção da habitação e da cidade pelos granes incorporadores imobiliários on Brasil e na França: o caso das aglomerações urbanas de São Paulo e Paris","2011","Brasil","Português","","","",4
"Graduação","Modernização do trabalho da arquitetura: três edifícios em São Paulo","2009","Brasil","Português","","","",5
"Graduação","Serviço global de acesso à mobilidade","2007","Brasil","Português","","","",6
"Graduação","Habitação na Operação Urbana Água Espraiada","2012","Brasil","Português","","","",7
"Graduação","Um império de espelhos: o design visto a partir do fantástico","2012","Brasil","Português","","","",8
"Graduação","Vivendo no Aperto: Análise comparada entre soluções (propostas) de mobiliário para pequenos espaços, no Brasil e Japão","2012","Brasil","Português","","","",9
"Graduação","Oficina para mobilizar a criação: o desgin como meio de romper com a passividade da experiência","2013","Brasil","Português","","","",10
"Graduação","Programa Minha Casa Minha Vida: política habitacional ou pacote anticíclico?","2014","Brasil","Português","","","",11
"Graduação","TRANSPORTE PÚBLICO COMO DIREITO SOCIAL  REGULAÇÃO E FINANCIAMENTO DO TRANSPORTE POR ÔNIBUS MUNICIPAL EM SÃO PAULO DE 1988 A 2015","2015","Brasil","Português","","","",12
"Graduação","Terceirização nas atividades auxiliares no setor público: um estudo sobre as trabalhadoras terceirizadas da limpeza na UNICAMP","2015","Brasil","Português","","","",13
"Graduação","MINHA CASA MINHA VIDA, UM ESTUDO DE CASO: O CONJUNTO RESIDENCIAL EMÍLIO BOSCO NO MUNICÍPIO DE SUMARÉ/SP","2015","Brasil","Português","","","",14
"Graduação","Demolição como política pública urbana: o caso de Warren, Ohio, EUA","2017","Brasil","Português","","","",15
"Graduação","Gentrificação: causas, transformações e particularidades latinoamericanas","2017","Brasil","Português","","","",16
"Graduação","Constituição e Desenvolvimento da Periferia na Cidade de São Paulo: Caso da Vila Missionária","2017","Brasil","Português","","","",17
"Graduação","Designer no mundo das grandes corporações: o caso da Disney","2011","Brasil","Português","","","",18
