NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Outra","Financiarización global y lucha por el derecho a la ciudad","2015","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",0
"Outra","Arquitetura e forma urbana nos enclaves","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",1
"Outra","São Paulo: coalizões e conflitos na produção do espaço urbano","2006","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",2
"Outra","INTERDISZIPLINÄRER LEHRGANG FÜR HÖHERE LATEINAMERIKA-STUDIEN","2002","Austria","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",3
"Outra","Ong, terceiro setor e voluntariado / Experiências de práticas alternativas","2001","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",4
"Outra","Questão urbana","2008","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",5
"Outra","","1999","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",6
"Outra","Projetos urbanos e seus modelos","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",7
"Outra","The Real Estate Circuit and (the Right to) the City: Notes on the Housing Question in Brazil","2015","Alemanha","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","The Real Estate Circuit and (the Right to) the City: Notes on the Housing Question in Brazil","NAO",8
"Outra","(I)mobilidade em São Paulo","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",9
"Outra","Land Value Capture and the Right to the City in Sao Paulo","2015","México","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",10
"Outra","Especulação imobiliária e direito à cidade","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",11
"Outra","Operações urbanas: direto à cidade?","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",12
"Outra","Curso de extensão para estudantes de graduação","2001","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",13
"Outra","O enigma do capital, de David Harvey","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",14
"Outra","Plenária do Departamento de Projeto da FAUUSP","2005","Brasil","","NAO_INFORMADO","","NAO","Simposiasta","Convidado","","","NAO",15
