DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-TECNICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"O livro inclui a transcrição completa da minha participação no evento","",2,,,,,,,,,,,,,,,,
"19/11/2015
Local Unicamp","",5,,,,,,,,,,,,,,,,
"19/11/2015","",6,,,,,,,,,,,,,,,,
"19/11/2015
local Unicamp","",7,,,,,,,,,,,,,,,,
"prefácio: Ermínia Maricato","",,1,,,,,,,,,,,,,,,
"O livro impresso inclui um resumo do trabalho, publicado na íntegra em mídia digital.","",,,1,,,,,,,,,,,,,,
"Lançado na Haus der Kulturen der Welt em novembro de 2015
O volume faz parte a série Wohnungsfrage, que é parte do projeto de exposição Wohnungsfrage (Outubro a Dezembro de 2015) na HKW
O meu texto ocupa das páginas 13 a 22.","",,,5,,,,,,,,,,,,,,
"Disponível em versão resumida em Understanding Slums: 34 city case studies prepared for the UN Global Report on human settlements 2003: The challenge of slum; e na integra em www.ucl.ac.uk/dpu-projects/Global_Report/cities/saopaulo.htm e no e no CD-ROM Understanding Slums","",,,6,,,,,,,,,,,,,,
"Publicado na coluna Cidade Aberta","",,,,10,,,,,,,,,,,,,
"Publicado na coluna Cidade Aberta","",,,,19,,,,,,,,,,,,,
"Disponível em:
http://www.correiocidadania.com.br/index.php?option=com_content&view=article&id=3580:pcthabitacional310709&catid=66:pacote-habitacional&Itemid=171

30/7/2009","",,,,22,,,,,,,,,,,,,
"Participação na equipe de edição e na redação","",,,,,0,,,,,,,,,,,,
"Coordenação junto com Ângela Amaral e participação na equipe de redação 
Produção do gabinete do Vereador Nabil Bonduki, com supervisão de N.Bonduki, R. Rolnik e E. Rodrigues","",,,,,1,,,,,,,,,,,,
"Capítulo da publicação Human Rights in Brazil 2009","",,,,,2,,,,,,,,,,,,
"Capítulo da publicação Direitos Humanos no Brasil 2009, da Rede Social de Justiça e Direitos Humanos","",,,,,3,,,,,,,,,,,,
"Orientadora: Professora Doutora Ermínia Maricato","",,,,,5,,,,,,,,,,,,
"Ementa da minha participação no curso de introdução à obra de David Harvey, publicada em apostila da editora Boitmepo.","",,,,,8,,,,,,,,,,,,
"1 a 5 de outubro de 2007","",,,,,,2,,,,,,,,,,,
"Mesa redonda com o Professor Francisco de Oliveira (FFLCH-USP)
Coordenação do Professor Luiz Martins (ECA-USP)
Data: 19 de setembro de 2007","",,,,,,3,,,,,,,,,,,
"30 de abril de 2008","",,,,,,8,,,,,,,,,,,
"20 de agosto","",,,,,,9,,,,,,,,,,,
"Oficina preparada com Tiaraju Pablo, ministrada em 18/09/2008","",,,,,,10,,,,,,,,,,,
"24 de outubro de 2008, em mesa redonda com Cibele Risek e João Whitaker","",,,,,,11,,,,,,,,,,,
"trabalho apresentado na sessão "Grandes projetos urbanos: elementos da experiência argentino-brasileira II", coordenada por Pedro Novaes","",,,,,,12,,,,,,,,,,,
"7 de maio","",,,,,,13,,,,,,,,,,,
"Sessão Livre "A cidade do futuro: sobre o urbanismo do espetáculo e a arquitetura de grife", organizada por Márcio Valença, com partipação de Tamara Egler e Mariana Fialho Bonates, realizada em 28 de maio de 2009","",,,,,,14,,,,,,,,,,,
"apresentação em 25 de agosto de 2009
mesa coordenada por M. Aalbers e composta por Ben Derudder e Gregory Squires","",,,,,,17,,,,,,,,,,,
"27 de maio de 2010, 14 horas","",,,,,,18,,,,,,,,,,,
"23 de out
com participação de João Whitaker Ferreira","",,,,,,20,,,,,,,,,,,
"26 de fevereiro de 2011
mesa com Francisco Comaru","",,,,,,21,,,,,,,,,,,
