PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Cidades Globais","São Paulo (cidade)","fundos de pensão","globalização","mercado imobiliário","",0,,,,,,,,,,,,,,,,,,,,,,,
"financeirização","Direito à cidade","mercado imobiliário","bolha financeira","","",,0,,,,,,,,,,,,,,,,,,,,,,
"Cidades Globais","São Paulo (cidade)","","","","",,,3,,,,,,,,,,,,,,,,,,,,,
"bolha financeira","crise mundial","mercado imobiliário","Mercado financeiro","","",,,4,,,,,,,,,,,,,,,,,,,,,
"Cidades Globais","globalização","mercado imobiliário","São Paulo (cidade)","Berrini","Ponte Estaiada",,,,0,,,,,,,,,,,,,,,,,,,,
"Mobilidade Urbana","Transportes","tarifa","tarifa zero","","",,,,1,,,,,,,,,,,,,,,,,,,,
"Centro Histórico","São Paulo (cidade)","mercado imobiliário","Cultura","Revitalização","Renovação urbana",,,,2,,,,,,,,,,,,,,,,,,,,
"São Paulo (cidade)","mercado imobiliário","Renovação urbana","edifícios comerciais","","",,,,,0,,,,,,,,,,,,,,,,,,,
"São Paulo (cidade)","Política urbana","São Paulo (Estado) - História","Urbanismo","Cidades Globais","",,,,,1,,,,,,,,,,,,,,,,,,,
"Operações Urbanas","mercado imobiliário","São Paulo (cidade)","Parceria público-privada","Estatuto da Cidade","Berrini",,,,,,0,,,,,,,,,,,,,,,,,,
"urbanização","Política urbana","Favelas","Cortiços","","",,,,,,1,,,,,,,,,,,,,,,,,,
"Operações Urbanas","fronteira urbana","Cepacs","Parceria público-privada","","",,,,,,3,,,,,,,,,,,,,,,,,,
"Favelas","Cortiços","São Paulo (cidade)","","","",,,,,,6,,,,,,,,,,,,,,,,,,
"Operações Urbanas","","","","","",,,,,,,9,,,,,,,,,,,,,,,,,
"Parceria público-privada","Política urbana","","","","",,,,,,,10,,,,,,,,,,,,,,,,,
"Direito à cidade","Movimento de moradia","","","","",,,,,,,12,,,,,,,,,,,,,,,,,
"Reforma Urbana","Política urbana","Estatuto da Cidade","Movimento de moradia","Direito à cidade","",,,,,,,14,,,,,,,,,,,,,,,,,
"Reforma Urbana","Política urbana","habitação social","","","",,,,,,,15,,,,,,,,,,,,,,,,,
"Partido dos Trabalhadores","Puerto Madero","Centro Histórico","Revitalização","Política urbana","habitação social",,,,,,,16,,,,,,,,,,,,,,,,,
"Buenos Aires","","","","","",,,,,,,17,,,,,,,,,,,,,,,,,
"Reforma Urbana","habitação social","Política urbana","Direito à cidade","","",,,,,,,18,,,,,,,,,,,,,,,,,
"Cepacs","","","","","",,,,,,,19,,,,,,,,,,,,,,,,,
"Centro Histórico","Revitalização","São Paulo (cidade)","Movimento de moradia","","",,,,,,,,0,,,,,,,,,,,,,,,,
"Direito à cidade","Moradia","Política urbana","","","",,,,,,,,3,,,,,,,,,,,,,,,,
"urbanização","Mike Davis","","","","",,,,,,,,4,,,,,,,,,,,,,,,,
"Operações Urbanas","Parceria público-privada","planejamento urbano","Berrini","Água Espraiada","",,,,,,,,5,,,,,,,,,,,,,,,,
"financeirização","Direito à cidade","mercado imobiliário","bolha financeira","","",,,,,,,,6,,,,,,,,,,,,,,,,
"David Harvey","urbanização","renda da terra","","","",,,,,,,,8,,,,,,,,,,,,,,,,
"Cidades Globais","São Paulo (cidade)","fundos de pensão","globalização","mercado imobiliário","",,,,,,,,9,,,,,,,,,,,,,,,,
"mercado imobiliário","Moradia","Mercado financeiro","Hipotecas","","",,,,,,,,,1,,,,,,,,,,,,,,,
"Estatuto da Cidade","Direito à cidade","Instrumentos urbanísticos","Zeis","Cepacs","Operações Urbanas",,,,,,,,,2,,,,,,,,,,,,,,,
"São Paulo (cidade)","Teatro","","","","",,,,,,,,,7,,,,,,,,,,,,,,,
"globalização","Hipotecas","Mercado financeiro","mercado imobiliário","Estados Unidos","",,,,,,,,,8,,,,,,,,,,,,,,,
"Cidades Médias","","","","","",,,,,,,,,9,,,,,,,,,,,,,,,
"Despejos","Cortiços","Direito à cidade","Favelas","Moradia","Movimento de moradia",,,,,,,,,10,,,,,,,,,,,,,,,
"Estados Unidos","Hipotecas","Mercado financeiro","mercado imobiliário","Moradia","subprime",,,,,,,,,11,,,,,,,,,,,,,,,
"Cepacs","Operações Urbanas","","","","",,,,,,,,,12,,,,,,,,,,,,,,,
"Direito à cidade","Moradia","Zeis","Mercado financeiro","mercado imobiliário","",,,,,,,,,13,,,,,,,,,,,,,,,
"fronteira urbana","Instrumentos urbanísticos","Revitalização","Renovação urbana","São Paulo (cidade)","Centro Histórico",,,,,,,,,14,,,,,,,,,,,,,,,
"Direito à cidade","","","","","",,,,,,,,,15,,,,,,,,,,,,,,,
"Ponte Estaiada","São Paulo (cidade)","Cidades Globais","financeirização","globalização","",,,,,,,,,16,,,,,,,,,,,,,,,
"Direito à cidade","Reforma Urbana","habitação social","","","",,,,,,,,,19,,,,,,,,,,,,,,,
"Concessão Urbanística","Nova Luz","","","","",,,,,,,,,20,,,,,,,,,,,,,,,
"planejamento urbano","Parceria público-privada","Operações Urbanas","São Paulo (cidade)","mananciais","meio ambiente",,,,,,,,,27,,,,,,,,,,,,,,,
"editoria","projeto gráfico","","","","",,,,,,,,,28,,,,,,,,,,,,,,,
"planejamento urbano","justiça social","","","","",,,,,,,,,29,,,,,,,,,,,,,,,
"Cidades Globais","","","","","",,,,,,,,,30,,,,,,,,,,,,,,,
"Política urbana","","","","","",,,,,,,,,31,,,,,,,,,,,,,,,
"Estados Unidos","mercado imobiliário","Mercado financeiro","bolha financeira","","",,,,,,,,,35,,,,,,,,,,,,,,,
"Minha Casa Minha Vida","habitação social","Política urbana","","","",,,,,,,,,37,,,,,,,,,,,,,,,
"Estatuto da Cidade","Operações Urbanas","","","","",,,,,,,,,38,,,,,,,,,,,,,,,
"Centro Histórico","áreas centrais","Direito à cidade","Moradia","Movimento de moradia","",,,,,,,,,39,,,,,,,,,,,,,,,
"Teatro","espaço público","","","","",,,,,,,,,40,,,,,,,,,,,,,,,
"Operações Urbanas","Direito à cidade","Moradia","","","",,,,,,,,,42,,,,,,,,,,,,,,,
"Operações Urbanas","","","","","",,,,,,,,,45,,,,,,,,,,,,,,,
"Teatro","cidade","","","","",,,,,,,,,51,,,,,,,,,,,,,,,
"grandes projetos urbanos","Operações Urbanas","","","","",,,,,,,,,53,,,,,,,,,,,,,,,
"Operações Urbanas","planejamento urbano","Política urbana","","","",,,,,,,,,58,,,,,,,,,,,,,,,
"grandes projetos urbanos","","","","","",,,,,,,,,59,,,,,,,,,,,,,,,
"Estatuto da Cidade","Operações Urbanas","áreas centrais","","","",,,,,,,,,60,,,,,,,,,,,,,,,
"plano diretor","","","","","",,,,,,,,,61,,,,,,,,,,,,,,,
"Parceria público-privada","São Paulo (cidade)","","","","",,,,,,,,,62,,,,,,,,,,,,,,,
"financeirização","mercado imobiliário","Mercado financeiro","habitação social","","",,,,,,,,,69,,,,,,,,,,,,,,,
"financeirização","habitação social","Direito à moradia","mercado imobiliário","bolha financeira","",,,,,,,,,70,,,,,,,,,,,,,,,
"financeirização","habitação social","Minha Casa Minha Vida","","","",,,,,,,,,72,,,,,,,,,,,,,,,
"financeirização","Direito à cidade","","","","",,,,,,,,,75,,,,,,,,,,,,,,,
"crise financeira","arquitetura","","","","",,,,,,,,,81,,,,,,,,,,,,,,,
"Operações Urbanas","Outorga onerosa do direito de construír","Parceria público-privada","","","",,,,,,,,,82,,,,,,,,,,,,,,,
"growth machine","máquina do crescimento","","","","",,,,,,,,,83,,,,,,,,,,,,,,,
"Direito à cidade","","","","","",,,,,,,,,85,,,,,,,,,,,,,,,
"Finacialization","","","","","",,,,,,,,,88,,,,,,,,,,,,,,,
"renda da terra","setor imobiliário","land value capture","operações urbanas consorciadas","planejamento urbano","Direito à cidade",,,,,,,,,89,,,,,,,,,,,,,,,
"financeirização","Operações Urbanas","PPP","Parceria público-privada","","",,,,,,,,,90,,,,,,,,,,,,,,,
"metrópole","bolha financeira","financeirização","Parceria público-privada","operações urbanas consorciadas","",,,,,,,,,92,,,,,,,,,,,,,,,
"David Harvey","Direito à cidade","","","","",,,,,,,,,105,,,,,,,,,,,,,,,
"Habitação","neoliberalismo","","","","",,,,,,,,,106,,,,,,,,,,,,,,,
"financeirização","Habitação","","","","",,,,,,,,,107,,,,,,,,,,,,,,,
"financeirização","Moradia","Direito à cidade","Direito à moradia","","",,,,,,,,,108,,,,,,,,,,,,,,,
"rentismo","","","","","",,,,,,,,,110,,,,,,,,,,,,,,,
"Construção Civil","","","","","",,,,,,,,,111,,,,,,,,,,,,,,,
"Desigualdade","imobiliário","","","","",,,,,,,,,112,,,,,,,,,,,,,,,
"financeirização","bolha imobiliária","","","","",,,,,,,,,115,,,,,,,,,,,,,,,
"Direito à cidade","circuito imobiliário","","","","",,,,,,,,,117,,,,,,,,,,,,,,,
"Política urbana","planejamento urbano","","","","",,,,,,,,,,1,,,,,,,,,,,,,,
"Direito à cidade","Direito à moradia","defensoria pública","","","",,,,,,,,,,2,,,,,,,,,,,,,,
"Direito à cidade","Direito à moradia","Direito urbano","","","",,,,,,,,,,4,,,,,,,,,,,,,,
"Direito à cidade","Direito à moradia","Direito urbano","","","",,,,,,,,,,5,,,,,,,,,,,,,,
"Direito à cidade","","","","","",,,,,,,,,,7,,,,,,,,,,,,,,
"planejamento urbano","","","","","",,,,,,,,,,,0,,,,,,,,,,,,,
"Centro Histórico","São Paulo (cidade)","Renovação urbana","Política urbana","","",,,,,,,,,,,1,,,,,,,,,,,,,
"Centro Histórico","Movimento de moradia","movimento popular","","","",,,,,,,,,,,2,,,,,,,,,,,,,
"Centro Histórico","Movimento de moradia","movimento popular","Revitalização","Reforma Urbana","",,,,,,,,,,,3,,,,,,,,,,,,,
"grandes projetos urbanos","Operações Urbanas","","","","",,,,,,,,,,,,0,,,,,,,,,,,,
"Mnha Casa Minha Vida","Política Habitacional","","","","",,,,,,,,,,,,1,,,,,,,,,,,,
"Mobilidade","önibus municipal","tarifa","","","",,,,,,,,,,,,,2,,,,,,,,,,,
"copa do mundo","Infraestrutura urbana","","","","",,,,,,,,,,,,,3,,,,,,,,,,,
"terceirização","trabalho","educação","escolarização","extensão universitária","",,,,,,,,,,,,,4,,,,,,,,,,,
"habitação social","Minha Casa Minha Vida","","","","",,,,,,,,,,,,,5,,,,,,,,,,,
"Minha Casa Minha Vida","Mobilidade Urbana","Política Habitacional","Política urbana","","",,,,,,,,,,,,,6,,,,,,,,,,,
"Minha Casa Minha Vida","Construção Civil","Emprego e renda","","","",,,,,,,,,,,,,7,,,,,,,,,,,
"Minha Casa Minha Vida","Política Habitacional","Construção Civil","","","",,,,,,,,,,,,,8,,,,,,,,,,,
"Minha Casa Minha Vida","Política Habitacional","","","","",,,,,,,,,,,,,9,,,,,,,,,,,
"espaço público","Centro Histórico","Campinas","","","",,,,,,,,,,,,,10,,,,,,,,,,,
"Mobilidade Urbana","","","","","",,,,,,,,,,,,,13,,,,,,,,,,,
"Favelas","mananciais","Berrini","","","",,,,,,,,,,,,,,0,,,,,,,,,,
"mananciais","São Paulo (cidade)","","","","",,,,,,,,,,,,,,1,,,,,,,,,,
"Berrini","Água Espraiada","urbanização","São Paulo (cidade)","","",,,,,,,,,,,,,,2,,,,,,,,,,
"bolha financeira","Ação popular","Concessão Urbanística","Nova Luz","","",,,,,,,,,,,,,,3,,,,,,,,,,
"Berrini","Água Espraiada","Favelas","","","",,,,,,,,,,,,,,4,,,,,,,,,,
"mananciais","Água Espraiada","Despejos","Favelas","meio ambiente","",,,,,,,,,,,,,,5,,,,,,,,,,
"Cidades Médias","Produção do Espaço","","","","",,,,,,,,,,,,,,,1,,,,,,,,,
"São José do Rio Preto","Minha Casa Minha Vida","Política Habitacional","mercado imobiliário","","",,,,,,,,,,,,,,,2,,,,,,,,,
"Largo da Batata","Gentrificação","Revitalização","Projeto Urbano","","",,,,,,,,,,,,,,,3,,,,,,,,,
"SFH","SFI","financiamento imobiliário","","","",,,,,,,,,,,,,,,4,,,,,,,,,
"Porto Maravilha","PPP","Parceria","Cepacs","Operações Urbanas","",,,,,,,,,,,,,,,5,,,,,,,,,
"Moradia","habitação social","Política Habitacional","","","",,,,,,,,,,,,,,,6,,,,,,,,,
"Cepacs","CEPAC","Porto Maravilha","operações urbanas consorciadas","","",,,,,,,,,,,,,,,7,,,,,,,,,
"Construção Civil","trabalho","","","","",,,,,,,,,,,,,,,9,,,,,,,,,
"Política urbana","Política Habitacional","Minha Casa Minha Vida","","","",,,,,,,,,,,,,,,10,,,,,,,,,
"Política Habitacional","América Latina","","","","",,,,,,,,,,,,,,,,0,,,,,,,,
"Centros Urbanos","Modelos regulatórios","Porto Maravilha","","","",,,,,,,,,,,,,,,,1,,,,,,,,
"grandes projetos urbanos","operações urbanas consorciadas","Belo Horizonte","","","",,,,,,,,,,,,,,,,3,,,,,,,,
"financeirização","mercado imobiliário","certificados de recebíveis imobiliários","","","",,,,,,,,,,,,,,,,,1,,,,,,,
"PRHI","habitação social","Área Central","","","",,,,,,,,,,,,,,,,,2,,,,,,,
"grandes projetos urbanos","operações urbanas consorciadas","Belo Horizonte","","","",,,,,,,,,,,,,,,,,4,,,,,,,
"urbanização","Cidades Médias","Amazônia","","","",,,,,,,,,,,,,,,,,5,,,,,,,
"São José do Rio Preto","mercado imobiliário","Política Habitacional","Minha Casa Minha Vida","","",,,,,,,,,,,,,,,,,6,,,,,,,
