PARTICIPACAO-EM-SEMINARIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"130",0
1,"181",0
2,"328",0
3,"69",0
4,"134",0
5,"390",0
6,"12",0
7,"39",0
8,"128",0
9,"135",0
10,"347",0
11,"35",0
12,"271",0
13,"108",0
14,"70",0
15,"139",0
16,"91",0
17,"265",0
18,"97",0
19,"100",0
20,"133",0
21,"116",0
22,"16",0
23,"346",0
24,"86",0
25,"58",0
26,"98",0
27,"36",0
28,"137",0
29,"125",0
30,"11",0
31,"329",0
32,"18",0
33,"325",0
34,"13",0
35,"19",0
36,"14",0
37,"17",0
