AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
