ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"1","",0
1,"2","",0
2,"15","",0
3,"16","",0
4,"17","",0
5,"18","",0
6,"49","",0
7,"108","",0
8,"109","",0
9,"120","",0
10,"121","",0
11,"122","",0
12,"168","",0
13,"185","",0
14,"196","",0
15,"199","",0
16,"261","",0
17,"262","",0
18,"263","",0
19,"331","",0
20,"420","",0
21,"421","",0
22,"422","",0
23,"423","",0
24,"424","",0
25,"430","",0
26,"432","",0
27,"481","",0
28,"482","",0
29,"497","",0
30,"498","",0
31,"504","",0
32,"517","",0
33,"518","",0
34,"519","",0
35,"520","",0
36,"515","",0
