NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"CARLOS MANUEL PORTELA","PORTELA, C. M.","1","3563809681641435",0,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",0,,,,,,,,,,,,,,,
"Rogério Azevedo","AZEVEDO, R.","3","4199744198810805",0,,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","1","3563809681641435",1,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",1,,,,,,,,,,,,,,,
"German Moreno Ospina","OSPINA, G. M.","3","",1,,,,,,,,,,,,,,,
"Ricardo Barz Sovat","SOVAT, R. B.","1","0404624792247041",2,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",2,,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","1","3563809681641435",3,,,,,,,,,,,,,,,
"German Moreno Ospina","OSPINA, G. M.","2","",3,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",3,,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","1","3563809681641435",4,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",4,,,,,,,,,,,,,,,
"Rogério Azevedo","AZEVEDO, R.","3","4199744198810805",4,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",5,,,,,,,,,,,,,,,
"Ricardo Barz Sovat","SOVAT, R. B.","2","0404624792247041",5,,,,,,,,,,,,,,,
"Angela S Mello","MELLO, Angela S","3","",5,,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","1","3563809681641435",6,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",6,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",7,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",7,,,,,,,,,,,,,,,
"Arnoldo Rodrigo Saavedra","SAAVEDRA, A. R.","1","",8,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",8,,,,,,,,,,,,,,,
"João Batista Silva","SILVA, J. B.","3","",8,,,,,,,,,,,,,,,
"Dourival de Carvalho Junior","CARVALHO JUNIOR, D.","4","",8,,,,,,,,,,,,,,,
"Marcio Nunes Lins","LINS, M. N.","5","",8,,,,,,,,,,,,,,,
