TITULO,ANO-DESENVOLVIMENTO,PAIS,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-RELEVANCIA,TITULO-INGLES,FLAG-POTENCIAL-INOVACAO,PATENTE_Id
"METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","2011","Cazaquistão","","NAO_INFORMADO","NAO","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","SIM",0
"METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","2011","Ucrânia","","NAO_INFORMADO","NAO","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","SIM",1
"Fast three-phase reclosing method in shunt reactor compensated transmission lines","2009","Austrália","","NAO_INFORMADO","NAO","","SIM",2
"METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","2011","Rússia","","NAO_INFORMADO","NAO","","SIM",3
"Método De Identificação De Falta Em Sistema De Transmissão","2015","Brasil","","NAO_INFORMADO","NAO","","SIM",4
"Método para determinação do comprimento de arcos elétricos","2012","Brasil","","NAO_INFORMADO","NAO","","SIM",5
"Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2009","Colômbia","","NAO_INFORMADO","NAO","","SIM",6
"Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2009","Nova Zelândia","","NAO_INFORMADO","NAO","","SIM",7
"Método De Religamento Monopolar E Tripolar Adaptativo Rápido Em Linhas De Transmissão","2015","Brasil","","NAO_INFORMADO","NAO","","SIM",8
"Método De Proteção De Distância Para Linhas De Meio Comprimento De Onda E Uso Do Mesmo","2015","Brasil","","NAO_INFORMADO","NAO","","SIM",9
"Método De Controle Adaptativo Para Religamento Tripolar De Linhas Compensadas Submetidas A Faltas Internas","2015","Brasil","","NAO_INFORMADO","NAO","","SIM",10
"Método De Detecçâo De Faltas Internas De Alta Sensibilidade","2016","Brasil","","NAO_INFORMADO","NAO","","SIM",11
"MÉTODO DE PROTEÇÃO DE TRANSFORMADOR PARA FALTAS INTERNAS","2016","Brasil","","NAO_INFORMADO","NAO","","SIM",12
"Fast three-phase reclosing method in shunt reactor compensated transmission lines","2009","Alemanha","","NAO_INFORMADO","NAO","","SIM",13
"Método Para Religamento Tripolar Rápido em Linhas De Transmissão Com Compensação Reativa Em Derivação","2008","Brasil","","NAO_INFORMADO","NAO","","SIM",14
"Método Para Aumento Da Capacidade De Transmissão De Energia Elétrica Em Linhas Aéreas Mediante A Modificação Da Geometria Dos Feixes","2017","Brasil","","NAO_INFORMADO","NAO","","SIM",15
"METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","2010","Estados Unidos","","NAO_INFORMADO","NAO","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","SIM",16
