NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"INICIACAO_CIENTIFICA","","Utilização do EMTP na Simulação de Transformadores de Potência para Estudos de Proteção Digital Diferencial","1999","Brasil","Português","","NAO","","","",0
"INICIACAO_CIENTIFICA","","Desenvolvimento de programa para cálculo de parâmetros elétricos de linha de transmissão usando o ambiente Mathematica","2001","Brasil","Português","","NAO","","","",1
"INICIACAO_CIENTIFICA","","Estudos de Parâmetros Elétricos de Linhas de Transmissão Usando a Ferramenta Computacional Mathematica","2001","Brasil","Português","","NAO","","","",2
"INICIACAO_CIENTIFICA","","Utilização de Simuladores de Transitórios Eletromagnéticos no Desenvolvimento do Modelo de Linha de Transmissão","2001","Brasil","Português","","NAO","","","",3
"INICIACAO_CIENTIFICA","","Desenvolvimento de programa para cálculo de parâmetros elétricos de linha de transmissão usando o ambiente Mathematica","2001","Brasil","Português","","NAO","","","",4
"INICIACAO_CIENTIFICA","","Modelagem da Proteção Diferencial de Transformadores : Estudo Avançado","2002","Brasil","Português","","NAO","","","",5
"INICIACAO_CIENTIFICA","","Estudo do Efeito da Transposição de Linhas de Transmissão nas Harmônias","2002","Brasil","Português","","NAO","","","",6
"INICIACAO_CIENTIFICA","","captação de descargas atmosféricas trigadas - trabalho de campo","2002","Brasil","Português","","NAO","","","",7
"MONOGRAFIA_DE_CONCLUSAO_DE_CURSO_APERFEICOAMENTO_E_ESPECIALIZACAO","","montagem de equipamentos de medição de campo para captação de descargas atmosféricas","2002","Brasil","Português","","NAO","","","",8
"ORIENTACAO-DE-OUTRA-NATUREZA","Orientação de outra natureza","auxiliar didático - programa de capacitação docente PED","2003","Brasil","Português","","NAO","","","",9
"ORIENTACAO-DE-OUTRA-NATUREZA","Orientação de outra natureza","auxiliar didático - programa de capacitação docente PED","2003","Brasil","Português","","NAO","","","",10
"ORIENTACAO-DE-OUTRA-NATUREZA","","apoio ao ensino de graduação PAD","2003","Brasil","Português","","NAO","","","",11
"ORIENTACAO-DE-OUTRA-NATUREZA","Orientação de outra natureza","Estágio em Cálculo de Parâmetros Elétricos de Linha de Transmissão","2002","Brasil","Português","","NAO","","","",12
"ORIENTACAO-DE-OUTRA-NATUREZA","Orientação de outra natureza","Estágio em Descargas Atmosféricas","2002","Brasil","Português","","NAO","","","",13
"INICIACAO_CIENTIFICA","","Estudo da Proteção Diferencial de Transformador de Potência","2004","Brasil","Português","","NAO","","","",14
"INICIACAO_CIENTIFICA","","Tratamento de sinais de resultados de medição de tensão e correten de arco elétrico","2009","Brasil","Português","","NAO","","","",15
"INICIACAO_CIENTIFICA","","Transitórios em linha de meia onda","2009","Brasil","Português","","NAO","","","",16
"INICIACAO_CIENTIFICA","","Desenvolvimento de Proteção Adaptativa para Religamento Monopolar","2010","Brasil","Português","","NAO","","","",17
"INICIACAO_CIENTIFICA","","religamento monopolar","2006","Brasil","Português","","NAO","","","",18
