NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Six-phase transmission line-propagation characteristics and new three-phase representation","1993","","Inglês","MEIO_DIGITAL","","SIM","10.1109/61.252674","Six-phase transmission line-propagation characteristics and new three-phase representation","NAO",0,
"COMPLETO","Influencia da Transmissao Em Alta Tensao Em Cc Em Sistemas de Telecomunicacoes (Em Alemao)","1989","","Alemão","IMPRESSO","","NAO","","","NAO",1,
"COMPLETO","Mode domain multiphase transmission line model-use in transient studies","1999","","Inglês","MEIO_DIGITAL","","NAO","10.1109/61.796251","Mode domain multiphase transmission line model-use in transient studies","NAO",2,
"COMPLETO","Quasi-modes multiphase transmission line model","1999","","Inglês","MEIO_DIGITAL","","NAO","10.1016/s0378-7796(98)00105-9","Quasi-modes multiphase transmission line model","NAO",3,
"COMPLETO","New multiphase mode domain transmission line model","1999","","Inglês","MEIO_DIGITAL","","NAO","10.1016/s0142-0615(99)00023-x","New multiphase mode domain transmission line model","NAO",4,
"COMPLETO","Quasi-modes three-phase transmission line model-transformation matrix equations","2001","","Inglês","MEIO_DIGITAL","","NAO","10.1016/s0142-0615(00)00015-6","Quasi-modes three-phase transmission line model-transformation matrix equations","NAO",5,
"COMPLETO","Quasi-modes three-phase transmission line model - comparison with existing frequency dependent models","2000","","Inglês","MEIO_DIGITAL","","NAO","10.1016/s0378-7796(00)00096-1","Quasi-modes three-phase transmission line model - comparison with existing frequency dependent models","NAO",6,
"COMPLETO","Alto desempenho na proteção diferencial de transformadores de potência com a utilização de redes neurais artificiais","2003","","Inglês","MEIO_DIGITAL","","NAO","10.1590/s0103-17592003000300010","Alto desempenho na proteção diferencial de transformadores de potência com a utilização de redes neurais artificiais","NAO",7,
"COMPLETO","Transient Analysis Concerning Capacitor Bank Switching in a Distribution System","2002","Inglaterra","Inglês","IMPRESSO","","NAO","","","NAO",8,
"COMPLETO","Transmission System Parameters Optimization&amp;#8212; Sensitivity Analysis of Secondary Arc Current and Recovery Voltage","2004","","Inglês","MEIO_DIGITAL","[http://www.ieee.org]","NAO","10.1109/TPWRD.2004.829158","Transmission System Parameters Optimization&amp;#8212; Sensitivity Analysis of Secondary Arc Current and Recovery Voltage","NAO",9,
