TIPO-PRODUTO,NATUREZA,TITULO-DO-PRODUTO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-PRODUTO-INGLES,FLAG-POTENCIAL-INOVACAO,PRODUTO-TECNOLOGICO_Id
"OUTRO","OUTRA","MÉTODO PARA RELIGAMENTO TRIPOLAR RÁPIDO EM LINHAS DE TRANSMISSÃO COM COMPENSAÇÃO REATIVA EM DERIVAÇÃO","2008","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",0
"OUTRO","OUTRA","MÉTODO PARA RELIGAMENTO TRIPOLAR RÁPIDO EM LINHAS DE TRANSMISSÃO COM COMPENSAÇÃO REATIVA EM DERIVAÇÃO","2009","Brasil","Português","VARIOS","","NAO","","","NAO",1
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","África do Sul","Inglês","IMPRESSO","","NAO","","","NAO",2
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Austrália","Inglês","IMPRESSO","","NAO","","","NAO",3
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Cazaquistão","Inglês","IMPRESSO","","NAO","","","NAO",4
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Colômbia","Espanhol","IMPRESSO","","NAO","","","NAO",5
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Coréia do Sul","Inglês","IMPRESSO","","NAO","","","NAO",6
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Grã-Bretanha","Inglês","IMPRESSO","","NAO","","","NAO",7
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Índia","Inglês","IMPRESSO","","NAO","","","NAO",8
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Nova Zelândia","Inglês","IMPRESSO","","NAO","","","NAO",9
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Rússia","Inglês","IMPRESSO","","NAO","","","NAO",10
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Ucrânia","Inglês","IMPRESSO","","NAO","","","NAO",11
"OUTRO","OUTRA","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","2011","Vietnã","Inglês","IMPRESSO","","NAO","","","NAO",12
"OUTRO","NAO_INFORMADO","Destro - Interface Grafica Para Geracao de Entrada de Dados Para O Atp","1995","Brasil","","NAO_INFORMADO","","NAO","","","NAO",13
