DETALHAMENTO-DA-PATENTE_Id,FINALIDADE,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,CATEGORIA,PATENTE_Id
0,"redução das sobretensões transitórias decorrentes da manobra de religamento tripolar em linhas longas compensadas","FAPESP","","Produto e Processo",0
1,"redução das sobretensões transitórias decorrentes da manobra de religamento tripolar em linhas longas compensadas","FAPESP","","Produto e Processo",1
2,"produção de novo relé de proteção","","","Produto",2
3,"redução das sobretensões transitórias decorrentes da manobra de religamento tripolar em linhas longas compensadas","FAPESP","","Produto e Processo",3
4,"","","","Produto",4
5,"","","","Produto",5
6,"","","","Produto",6
7,"produção de novo relé de proteção","","","Produto",7
8,"","","","Produto",8
9,"","","","Produto e Processo",9
10,"","","","Produto e Processo",10
11,"","","","Produto e Processo",11
12,"","","","Produto e Processo",12
13,"produção de novo relé de proteção","","","Produto e Processo",13
14,"","","","Produto e Processo",14
15,"Aumento da capacidade de transmissão de linahs aéreas","","","Produto e Processo",15
16,"redução das sobretensões transitórias decorrentes da manobra de religamento tripolar em linhas longas compensadas","FAPESP","","Produto e Processo",16
