TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"IEEE Transactions on Power Delivery","08858977","8","3","","1470","1483","EUA",0,
"ETZ","","14","14-JULHO","","14","21","Alemanha",1,
"IEEE TRANSACTIONS ON POWER DELIVERY","08858977","14","4","","1533","1544","Estados Unidos",2,
"Electric Power Systems Research (Print)","03787796","49","3","3","159","167","Suiça",3,
"International Journal of Electrical Power & Energy Systems","01420615","21","8","8","585","601","Inglaterra",4,
"International Journal of Electrical Power & Energy Systems","01420615","23","4","4","323","331","Inglaterra",5,
"Electric Power Systems Research (Print)","03787796","56","2","2","167","175","Suiça",6,
"Controle & Automação (Impresso)","01031759","14","3","3","309","320","Brasil",7,
"Electric Power Systems Research","03787796","65","1","A","13","21","Suiça",8,
"IEEE Transactions on Power Delivery","08858977","19","3","JUL","1464","1471","E.U.A.",9,
"IEE Proceedings. Generation, Transmission & Distribution (Cessou em 2006. Cont. ISSN 1751-8687 IET Generation, Transmission & Distribution (Print))","13502360","150","6","nov","736","","Inglaterra - IEE Proc.",10,
"Electric Power Systems Research (Print)","03787796","69","2-3","2-3","143","153","Suiça",11,
"IEEE Transactions on Power Delivery","08858977","20","2","part2","1669","1676","Piskataway - EUA",12,
"IEEE Transactions on Power Delivery","08858977","21","1","jan20","492","498","Piscataway - EUA",13,
"Electric Power Systems Research (Print)","03787796","76","2006","11","907","915","Holanda",14,
"Ciência & Engenharia","0103944X","ano 14","no 1","jan/jun","37","45","Uberlândia - MG - Brasil",15,
"Electric Power Systems Research (Print)","03787796","80","","","115","120","",16,
"Controle & Automação (Impresso)","01031759","20","","3","373","382","",17,
"Controle & Automação (Impresso)","01031759","20","","3","335","344","",18,
"Controle & Automação (Impresso)","01031759","","","5","506","522","",19,
"Energy and Power Engineering","1949243X","05","","04","1165","1171","",20,
"Energy and Power Engineering","1949243X","05","","04","1456","1462","",21,
"Energy and Power Engineering","1949243X","05","","04","1259","1265","",22,
"IEEE TRANSACTIONS ON POWER DELIVERY","08858977","26","","2","954","962","",23,
"IEEE Transactions on Dielectrics and Electrical Insulation","10709878","18","","1","200","210","",24,
"IEEE Transactions on Dielectrics and Electrical Insulation","10709878","21","","3","1005","1014","",25,
"IEEE Transactions on Power Delivery","08858977","29","","","2605","2613","",26,
"Electric Power Systems Research (Print)","03787796","1","","","1","6","",27,
"Electric Power Systems Research (Print)","03787796","1","","","1","6","",28,
"ELECTRICAL ENGINEERING","09487921","1","","","1","","",29,
"IET Generation, Transmission & Distribution (Print)","17518687","1","","","1","","",30,
"IET Generation Transmission & Distribution","17518687","1","","1","1","6","",31,
"IEEE TRANSACTIONS ON POWER DELIVERY","08858977","1","","1","1","8","",32,
"IET Generation Transmission & Distribution","17518687","1","","1","1","1","",33,
"IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION","10709878","24","","3","1592","1599","",34,
"ELECTRIC POWER SYSTEMS RESEARCH","03787796","1","","1","1","10","",35,
"IET Generation Transmission & Distribution","17518687","1","","1","1","8","",36,
"Energy for Sustainable Development","09730826","","","","","","",,0
