FINALIDADE,DISPONIBILIDADE,CIDADE-DO-PRODUTO,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,PRODUTO-TECNOLOGICO_Id
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","Campinas","Fapesp","",0
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","Campinas","UNICAMP","",1
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",2
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",3
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",4
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",5
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",6
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",7
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",8
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",9
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",10
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",11
"novo controlador para religamento tripolar adaptativo de linha de transmissão","RESTRITA","","Fapesp","",12
"","NAO_INFORMADO","","","",13
