SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Sobretensões em Sistema de Energia Elétrica",0
"2","Tópicos Especiais Em Linhas De Transmissão",0
"3","Uso do ATP em Sistemas Elétricos de Potência",0
"1","Circuitos Elétricos I",1
"2","Eletrônica Industrial",1
"3","Laboratório de Eletrotécnica",1
"4","Laboratório de Linhas e Filtros",1
"5","Laboratório de Ondas Guiadas",1
"6","Eletrotécnica",1
"7","Sistemas de Energia Elétrica I",1
"1","uso do ATP",2
"2","uso do ATP na proteção de sistema elétrico de potência",2
