DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"In this paper we discuss the basic aspects of modeling, simulation and optimization of transmission lines. As the subject can not be systematically covered within a single paper, we have chosen some specific points, as examples, which we discuss with emphasis in validity, applicability and limitations of some used procedures, and some guidelines for development of new procedures. Due to the vast bibliography about lines and its modeling, following the aim of this paper, we do not give a comprehensive list of references. We only indicate, also as examples, some references directly related with chosen specific points and the way they are presented. By no means, the choice of topics may be interpreted as a judgment of methodologies and procedures not dealt with in the paper.

The topics related to transmission lines modeling, simulation and optimization cover :

a.	Physical evaluation of basic line parameters and associated analytical, numeric, analogous or test procedures, and accuracy requirements, according to foreseen applications.

b.	Procedures to represent a line, considering its basic parameters and length, e. g. as seen from its terminals, and in a form adequate for the specific application.

c.	Modeling and simulation of a line inserted in a network and interacting with the behavior of other elements.

d.	Optimization of a line, according normal and transient operational constraints and effects, investment and operational cost, reliability, service quality, people and equipment safety, ambient impact, effects of eventual deviations from foreseen operational requirements.","",45,,,,,,,,,,,,,,,,,,,,,,,,
"The objective of this paper is to present an indirect methodology (qualitative analysis) to analyze transmission line models. In this methodology, we do not must to know the simulation results of the transitory phenomenon. The analysis of the model is done through comparison of the impedance of the model with the impedance of the "exact" model. The impedance of the "exact" model are the short-circuited and opened impedances of each "exact" modes and this impedances are denominated equivalent impedance of the reference. Initially the definition of reference's equivalent impedance is shown. Soon after, this methodology is applied to a transmission line model, the "Quasi-Modes" represented though p-circuits. The studies were accomplished in a hypothetical non-transposed three-phase transmission line of 440 kV. The line length is 500 km, and it was modeled through cascades of p-circuits (with 50 p's circuits, each with 10 km length).","",46,,,,,,,,,,,,,,,,,,,,,,,,
"Este artigo apresenta um modelo para representar linhas de transmissão de circuito duplo, incluindo a dependência com a freqüência dos parâmetros longitudinais, no domínio dos modos. Quanto à transformação modal, para a faixa de freqüências de transitórios eletromagnéticos de manobra, entre 10 Hz e 10 kHz, o modelo proposto utiliza uma única matriz de transformação real. O modelo proposto é capaz de incluir a dependência com a freqüência em simuladores digitais, tais como ATP, EMTP, EMTDC e MICROTRAN, através de elementos físicos de circuitos elétricos e transformadores ideais. O modelo é aplicado na análise de três alternativas de transposição para a linha dupla trifásica, bem como, na análise da linha não transposta. O modelo é denominado de modelo de Quase-modos para linhas de transmissão. Ele é aplicado em uma linha de transmissão dupla trifásica real, utilizando o simulador Microtran. Apresenta-se simulações de transitórios, tais como energização da linha e curto-circuito monofásico","",48,,,,,,,,,,,,,,,,,,,,,,,,
"In this article a representation of soil behaviour for transient studies is presented. Such representation is more accurate than the most common procedures of engineering practice and, in several conditions, lead to results with important differences. The proposed model takes into account the earth conductivity and permittivity frequency dependence, which normally are not considered. One of the aspects covered in the paper is the importance of properly considering the earth's electromagnetic behaviour when calculating transmission line parameters. Some comparisons are presented for an actual 440 kV three-phase transmission line in which the soil behaviour is represented through a unique real value of conductance ( the normal approach ) and through the proposed model.","",53,,,,,,,,,,,,,,,,,,,,,,,,
"This paper shows the importance of optimizing transmission system parameters from its conception, considering altogether the relevant options and possibilities, in order to have better cost-performance result. The presented results were obtained in the study of a real transmission system expansion, based on a 865 km long line. The Single-Phase Auto-Reclosing (SPAR) procedure was one of the aspects carefully studied, in order to assure adequate transmission reliability. The secondary arc current was mitigated through the traditional solution of using the neutral reactor on the existing shunt reactor banks. The way of obtaining the optimized value for the neutral reactor and its implications on the system performance are important aspects discussed in this paper.","",54,,,,,,,,,,,,,,,,,,,,,,,,
"In the presented paper it is shown how the utilization of a systematic three-phase analysis and three-phase frequency scan can become helpful tools in an electromagnetic transient study. The present methodology was applied to a study of real transmission system expansion, and it allowed for the identification of some rather severe cases, which would be very hard to discover through the ordinary transient study procedure.","",55,,,,,,,,,,,,,,,,,,,,,,,,
"Neste artigo é apresentada uma modelagem do solo mais precisa que a usual. O modelo proposto considera a variação da condutividade e da permissividade do solo com a freqüência, o que normalmente não é estudado. Um dos aspectos cobertos no trabalho aborda a importância de considerar apropriadamente o comportamento eletromagnético do solo para calcular os parâmetros elétricos da linha. O comportamento do solo é apresentado para uma linha de transmissão trifásica real de 440 kV para um único valor de condutância real (a abordagem usual) e através do modelo proposto.","",56,,,,,,,,,,,,,,,,,,,,,,,,
"O objetivo deste artigo é comparar as impedâncias de entrada de circuito aberto dos modos ?exatos? e dos ?Quasi-modos? de uma linha de transmissão. Inicialmente vamos decompor uma linha de transmissão em seus modos exatos e definir as equações das impedâncias de entrada de circuito aberto de cada um dos modos ?exatos?. Em seguida vamos repetir o procedimento para os ?Quasi-modos? da linha, considerando que os mesmos serão representados através de circuitos p's. Para finalizar vamos comparar as impedâncias de entrada de circuito aberto, dos modos ?exatos? e dos ?Quasi-modos?, em diversas faixas de freqüências. Nós analisaremos uma linha de transmissão trifásica de 440 kV, hipotética, sem transposição, com comprimento de 500 km. Os ?Quasi-modos? serão representados através de circuitos p's (cada circuito p representará 10 km da linha).","",57,,,,,,,,,,,,,,,,,,,,,,,,
"artigo aceito para IEEE Transactions on Power Delivery com o número 10.1109/TPWRD.2004.829158","",59,,,,,,,,,,,,,,,,,,,,,,,,
"relacionado à tese do Marcos","",60,,,,,,,,,,,,,,,,,,,,,,,,
