SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"99","COMPARAÇÃO ENTRE AS IMPEDÂNCIAS DE ENTRADA DE CIRCUITO ABERTO DOS MODOS EXATOS E DOS QUASI-MODOS DE UMA LINHA DE TRANSMISSÃO","Tese de doutorado","",0
"150","religamento monopolar","Iniciação científica","",1
"206","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","Dissertação de mestrado","",1
"277","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","Dissertação de mestrado","",1
"338","Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV","Dissertação de mestrado","",1
"373","Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas","Tese de doutorado","",1
"97","Análise de sensibilidade dos parâmetros elétricos de uma linha de transmissão trifásica","Dissertação de mestrado","",2
"100","Representação Compacta de Linhas de Transmissão em Programas de Transitórios Eletromagnéticos - Aplicação de Elementos Complexos","Tese de doutorado","",2
"127","Comportamento Eletromagnético so Solo no Domínio da Freqüência : Tratamento de Dados de campo e Influência no Desempenho de Linhas Aéreas de Transmissão de Energia Elétrica","Dissertação de mestrado","",2
"180","Estudo da Proteção Diferencial de Transformador de Potência","Iniciação científica","",2
"206","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","Dissertação de mestrado","",3
"219","Controle adaptativo para religamento tripolar aplicado a linhas de transmissão com compensação reativa em derivação","Tese de doutorado","",3
"220","OTIMIZAÇÃO DE LINHA DE TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA","Tese de doutorado","",3
"228","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",3
"229","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","Dissertação de mestrado","",3
"219","Controle adaptativo para religamento tripolar aplicado a linhas de transmissão com compensação reativa em derivação","Tese de doutorado","",4
"220","OTIMIZAÇÃO DE LINHA DE TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA","Tese de doutorado","",4
"228","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",4
"273","MAXIMIZAÇÃO DA POTÊNCIA CARACTERÍSTICA DE LINHAS DE TRANSMISSÃO USANDO MÉTODO DE OTIMIZAÇÃO NÃO LINEAR","Dissertação de mestrado","",4
"275","Transitórios em linha de meia onda","Iniciação científica","",4
"276","Desenvolvimento de Proteção Adaptativa para Religamento Monopolar","Iniciação científica","",4
"277","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","Dissertação de mestrado","",4
"373","Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas","Tese de doutorado","",4
"228","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",5
"229","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","Dissertação de mestrado","",5
"275","Transitórios em linha de meia onda","Iniciação científica","",5
"336","Proteção de distâncias para linhas de transmissão de encrgia de meio comprimento de onda","Tese de doutorado","",5
"363","Método para religamento monopolar em linhas de um pouco mais de meio comprimento de onda - Elo CA","Tese de doutorado","",5
"364","AVALIAÇÃO DA TENSÃO DE RESTABELECIMENTO TRANSITÓRIA E REJEIÇÃO DE CARGA EM UMA LINHA DE TRANSMISSÃO DE POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",5
"393","MODELAGEM DE UM RELÉ DE PROTEÇÃO DIFERENCIAL DE TRANSFORMADOR NO RTDS","Dissertação de mestrado","",5
"220","OTIMIZAÇÃO DE LINHA DE TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA","Tese de doutorado","",6
"228","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",6
"229","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","Dissertação de mestrado","",6
"273","MAXIMIZAÇÃO DA POTÊNCIA CARACTERÍSTICA DE LINHAS DE TRANSMISSÃO USANDO MÉTODO DE OTIMIZAÇÃO NÃO LINEAR","Dissertação de mestrado","",6
"277","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","Dissertação de mestrado","",6
"336","Proteção de distâncias para linhas de transmissão de encrgia de meio comprimento de onda","Tese de doutorado","",6
"337","Proteção para linha muito longa","Tese de doutorado","",6
"338","Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV","Dissertação de mestrado","",6
"219","Controle adaptativo para religamento tripolar aplicado a linhas de transmissão com compensação reativa em derivação","Tese de doutorado","",7
"220","OTIMIZAÇÃO DE LINHA DE TRANSMISSÃO PARA MANOBRA DE ABERTURA MONOPOLAR - ANÁLISE DA INFLUÊNCIA DOS PARÂMETROS TRANSVERSAIS DO SISTEMA DE COMPENSAÇÃO REATIVA","Tese de doutorado","",7
"228","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",7
"229","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","Dissertação de mestrado","",7
"273","MAXIMIZAÇÃO DA POTÊNCIA CARACTERÍSTICA DE LINHAS DE TRANSMISSÃO USANDO MÉTODO DE OTIMIZAÇÃO NÃO LINEAR","Dissertação de mestrado","",7
"277","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","Dissertação de mestrado","",7
"336","Proteção de distâncias para linhas de transmissão de encrgia de meio comprimento de onda","Tese de doutorado","",7
"337","Proteção para linha muito longa","Tese de doutorado","",7
"338","Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV","Dissertação de mestrado","",7
"373","Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas","Tese de doutorado","",7
"228","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",8
"229","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","Dissertação de mestrado","",8
"275","Transitórios em linha de meia onda","Iniciação científica","",8
"337","Proteção para linha muito longa","Tese de doutorado","",8
"363","Método para religamento monopolar em linhas de um pouco mais de meio comprimento de onda - Elo CA","Tese de doutorado","",8
"364","AVALIAÇÃO DA TENSÃO DE RESTABELECIMENTO TRANSITÓRIA E REJEIÇÃO DE CARGA EM UMA LINHA DE TRANSMISSÃO DE POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Dissertação de mestrado","",8
"150","religamento monopolar","Iniciação científica","",9
"206","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","Dissertação de mestrado","",9
"249","Tratamento de sinais de resultados de medição de tensão e correten de arco elétrico","Iniciação científica","",9
"276","Desenvolvimento de Proteção Adaptativa para Religamento Monopolar","Iniciação científica","",9
"277","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","Dissertação de mestrado","",9
"338","Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV","Dissertação de mestrado","",9
"373","Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas","Tese de doutorado","",9
"395","Estudo de transitórios eletromagnéticos em linhas longas compensadas para um pouco mais de meio comprimento de onda","Dissertação de mestrado","",9
"98","Modelo de Linha de Transmissão Circuito Duplo Trifásico utilizando parâmetros dependentes da freqüência","Tese de doutorado","",10
