PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Linha de Trasnmissao","Linha Hexafasica","Transitorio Eletromagnetico","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","Modelagem","Transitorios Eletromagneticos","Dominio dos Modos","Emtp","",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","linha não convencional","longa distância","meia onda","religamento monopolar","religamento trifásico",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"longa distância","linha hexafásica","transitórios","efeito coroa","","",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"longa distância","linha hexafásica","meia onda","campo elétrico","campo magnético","impacto ambiental",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"interface gráfica","ATP","transitórios eletromagnéticos","","","",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha hexafásica","transitórios eletromagnéticos","campo elétrico","campo magnético","","",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transitorios eletromagnéticos","linha hexafásica","modelagem de linhas","","","",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"interface gráfica","transitórios eletromagnéticos","ATP","","","",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linhas","linha hexafásica","transitórios eletromagnéticos","","","",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha hexafásica","transitórios eletromagnéticos","","","","",,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão CCAT","conversores","simulação digital","compensadores estáticos","","",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harmônicos","harmônicos transitórios","conversores HVDV","","","",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
