PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"75",0
1,"76",0
2,"107",0
3,"114",0
4,"115",0
5,"116",0
6,"160",0
7,"176",0
8,"183",0
9,"200",0
10,"201",0
11,"202",0
12,"209",0
13,"214",0
14,"215",0
15,"218",0
16,"223",0
17,"248",0
18,"250",0
19,"283",0
20,"301",0
21,"359",0
22,"377",0
23,"392",0
24,"431",0
25,"440",0
26,"443",0
27,"451",0
28,"453",0
29,"476",0
30,"479",0
31,"480",0
32,"484",0
33,"511",0
34,"513",0
35,"510",0
