SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"118","Influence of Earth Conductivity and Permittivity Frequency Dependence in Electromagnetic Transient Phenomena","Trabalho publicado em anais de eventos(Completo)","",0
"119","Transmission System Parameters Optimization - Analyzing Secondary Arc Current and Recovery Voltage","Trabalho publicado em anais de eventos(Completo)","",0
"121","Accurate representation of soil behaviour for transient studies","Artigo publicado em periódicos(Completo)","Accurate representation of soil behaviour for transient studies",0
"123","A New Methodology to Optimize Large EHV-Transmission System Transient Studies","Trabalho publicado em anais de eventos(Completo)","",0
"124","Influência da Variação da Condutividade e da Permissividade do Solo em Função da Freqüência nos Fenômenos Eletromagnéticos","Trabalho publicado em anais de eventos(Completo)","",0
"125","ANÁLISE MODAL DE LINHAS DE TRANSMISSÃO UTILIZANDO UMA FORMULAÇÃO ALTERNATIVA PARA O CÁLCULO DOS COEFICIENTES DE PROPAGAÇÃO E DAS IMPEDÂNCIAS CARACTERÍSTICAS DOS DIFERENTES MODOS","Trabalho publicado em anais de eventos(Completo)","",0
"122","Proposing a new methodology to optimize transient study of a transmission system","Artigo publicado em periódicos(Completo)","Proposing a new methodology to optimize transient study of a transmission system",1
"216","Modelagem de Arco no Ar - Aplicações em Sistemas de Potência","Participação em banca de trabalhos de conclusão(Exame de	qualificação de doutorado)","",1
"240","Single-phase autoreclosure studies: secondary arc model research including a 500kV line experimental circuit","Trabalho publicado em anais de eventos(Completo)","",1
"241","Single-Phase Auto-Reclosure Studies: Some Basic Aspects on Main Elements Representation","Trabalho publicado em anais de eventos(Completo)","",1
"242","Single-phase autoreclosure studies considering a robust and reliable secondary arc model based on a gray-box model","Trabalho publicado em anais de eventos(Completo)","",1
"248","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","Participação em banca de trabalhos de conclusão(Mestrado)","",1
"253","Adaptative Single-Phase Autoreclosing Based on Harmonic Signature of the Secondary Arc Voltage","Trabalho publicado em anais de eventos(Completo)","",1
"254","Secondary Arc Harmonic Content for Various Current Levels Based on Field Tests","Trabalho publicado em anais de eventos(Completo)","",1
"258","Identificação dos parâmetros do arco elétrico através de estimação dual estados/parâmetros","Participação em banca de trabalhos de conclusão(Doutorado)","",1
"268","Religamento Monopolar Adaptativo Baseado Na Assinatura Harmônica Da Tensão De Arco Secundário","Trabalho publicado em anais de eventos(Completo)","",1
"270","Estudos De Religamento Monofásico - Pesquisa E Desenvolvimento De Modelo Do Arco Secundário","Trabalho publicado em anais de eventos(Completo)","",1
"286","Conteúdo Harmônico Da Corrente E Tensão De Arcos Elétricos Gerados Artificialmente Em Ambiente Não Confinado","Trabalho publicado em anais de eventos(Completo)","",1
"287","Conteúdo Harmônico Da Corrente E Tensão De Arcos Elétricos Gerados Artificialmente Em Ambiente Não Confinado","Participações em eventos(Congresso)","",1
"293","Modelagem de Arco no Ar - Aplicações em Sistemas de Potência","Participação em banca de trabalhos de conclusão(Doutorado)","",1
"295","Using 3D-Snake for Measuring the Length of Artificially Generated Electric Arcs","Trabalho publicado em anais de eventos(Completo)","",1
"296","A Metric for Evaluating the 3D Reconstruction of the Length of Artificially Generated Electric Arcs","Trabalho publicado em anais de eventos(Completo)","",1
"315","Estimation of Length Variation of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",1
"332","Avaliação do comprimento de arcos elétricos gerados artificialmente através de técnicas de visão computacional","Participações em eventos(Seminário)","",1
"333","Avaliação do comprimento de arcos elétricos gerados artificialmente através de técnicas de visão computacional","Apresentação de trabalho(Seminário)","",1
"335","Pesquisa em vão experimental de 500 kV : Modelo do arco elétrico para estudos de religamento monofásico","Apresentação de trabalho(Seminário)","",1
"341","Harmonic Content and Estimation of Length Variation of Artificcially Generated Electrical Arc in Out- Door Experiments, EPEC 2011","Trabalho publicado em anais de eventos(Completo)","",1
"374","Modelagem 3D para a Determinação do Comprimento de Arcos Elétricos Usando Imagens Estereoscópicas","Participação em banca de trabalhos de conclusão(Doutorado)","",1
"377","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","Participação em banca de trabalhos de conclusão(Mestrado)","",1
"120","Transmission System Parameters Optimization&amp;#8212; Sensitivity Analysis of Secondary Arc Current and Recovery Voltage","Artigo publicado em periódicos(Completo)","Transmission System Parameters Optimization&amp;#8212; Sensitivity Analysis of Secondary Arc Current and Recovery Voltage",2
"174","compact model of transmission line applying orthogonal vectors","Trabalho publicado em anais de eventos(Completo)","",2
"175","Modelling of Soil Electromagnetic Behaviour in Frequency Domain","Trabalho publicado em anais de eventos(Completo)","",2
"177","Compacting Distributed Parameter Transmission Line Model in EMTP-Programs","Trabalho publicado em anais de eventos(Completo)","",2
"178","Influence of Earth Conductivity and Permittivity Frequency Dependence in Electromagnetic Transient Phenomena - More Measurements Results in New Sites","Trabalho publicado em anais de eventos(Completo)","",2
"179","DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR","Processo ou técnica(Analítica)","",2
"186","Earth Conductivity and Permittivity Data Measurements -Influence in Transmission Line Transient Performance","Trabalho publicado em anais de eventos(Completo)","",2
"187","Condensed Transmission Line Model in EMTP-Type Program - Use of Complex Elements","Trabalho publicado em anais de eventos(Completo)","",2
"191","Medição e Avaliação da Condutividade e Permissividade no Domínio da Freqüência de Amostras de Solo da Região de Cachoeira Paulista SP","Trabalho publicado em anais de eventos(Completo)","",2
"192","Uma Nova Metodologia Para Estudo De Transitórios Num Sistema De Transmissão","Trabalho publicado em anais de eventos(Completo)","",2
"193","Análise De Sensibilidade De Parâmetros Elétricos De Linhas De Transmissão No Domínio Da Freqüência","Trabalho publicado em anais de eventos(Completo)","",2
"195","Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Religamento Monopolar","Processo ou técnica(Analítica)","",2
"196","Earth conductivity and permittivity data measurements: Influence in transmission line transient performance","Artigo publicado em periódicos(Completo)","Earth conductivity and permittivity data measurements: Influence in transmission line transient performance",2
"204","Influence of Transmission Line Transposition in Electromagnetic Transients Phenomena","Trabalho publicado em anais de eventos(Completo)","",2
"205","Importancia de la Representación de Transposición en Líneas de Transmisión para Estudios de Transitorios Electromagnéticos","Trabalho publicado em anais de eventos(Completo)","",2
