TIPO-PATENTE,CODIGO-DO-REGISTRO-OU-PATENTE,TITULO-PATENTE,DATA-PEDIDO-DE-DEPOSITO,DATA-DE-PEDIDO-DE-EXAME,DATA-DE-CONCESSAO,INSTITUICAO-DEPOSITO-REGISTRO,NUMERO-DEPOSITO-PCT,FORMATO-DATA-DEPOSITO-PCT,DATA-DEPOSITO-PCT,NOME-DO-TITULAR,NOME-DO-DEPOSITANTE,DETALHAMENTO-DA-PATENTE_Id
"PRIVILEGIO_DE_INOVACAO_PI","KZ 2011/1545.1","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","13052011","","22082012","Cazaquistão","2009000347","DDMMAAAA","13052011","","Universidade Estadual de Campinas",0
"PRIVILEGIO_DE_INOVACAO_PI","A 2011 06002","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","13052011","","07112012","Depósito de patentes da Ucrânia","2009000347","DDMMAAAA","13052011","","Universidade Estadual de Campinas",1
"PRIVILEGIO_DE_INOVACAO_PI","PI0804330-2","Fast three-phase reclosing method in shunt reactor compensated transmission lines","09102009","","10102013","Commonwealth of Australia Patents Office","2009304528","DDMMAAAA","09102009","","Universidade Estadual de Campinas UNICAMP;Universidade Estadual de Campinas",2
"PRIVILEGIO_DE_INOVACAO_PI","2011120318","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","13052011","","21012014","Depósito de patente na Rússia","2009000347","DDMMAAAA","13052011","","Universidade Estadual de Campinas",3
"PRIVILEGIO_DE_INOVACAO_PI","BR1020150182406","Método De Identificação De Falta Em Sistema De Transmissão","30072015","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","",4
"PRIVILEGIO_DE_INOVACAO_PI","BR1020120319497","Método para determinação do comprimento de arcos elétricos","14122012","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","",5
"PRIVILEGIO_DE_INOVACAO_PI","11058805","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","09102009","","17032015","Superintendencia de Industria y Comercio Colombia","2009000347","DDMMAAAA","09102009","","",6
"PRIVILEGIO_DE_INOVACAO_PI","NZ592858","Fast Three-Phase Reclosing of Shunt Compensated Transmission Lines","09102009","","21032014","Intellectual Properties Office New Zeland","2009000347","DDMMAAAA","09102009","","",7
"PRIVILEGIO_DE_INOVACAO_PI","BR1020150203527","Método De Religamento Monopolar E Tripolar Adaptativo Rápido Em Linhas De Transmissão","24082015","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",8
"PRIVILEGIO_DE_INOVACAO_PI","BR1020150216734","Método De Proteção De Distância Para Linhas De Meio Comprimento De Onda E Uso Do Mesmo","04092015","","","INPI - Instituto Nacional da Propriedade Industrial","2016000083","DDMMAAAA","30082016","","Universidade Estadual de Campinas",9
"PRIVILEGIO_DE_INOVACAO_PI","BR1020150239408","Método De Controle Adaptativo Para Religamento Tripolar De Linhas Compensadas Submetidas A Faltas Internas","17092015","","","INPI - Instituto Nacional da Propriedade Industrial","2016000093","DDMMAAAA","15092016","","Universidade Estadual de Campinas",10
"PRIVILEGIO_DE_INOVACAO_PI","BR1020160163650","Método De Detecçâo De Faltas Internas De Alta Sensibilidade","14072016","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","",11
"PRIVILEGIO_DE_INOVACAO_PI","BR1020160161711","MÉTODO DE PROTEÇÃO DE TRANSFORMADOR PARA FALTAS INTERNAS","12072016","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","",12
"PRIVILEGIO_DE_INOVACAO_PI","2346132","Fast three-phase reclosing method in shunt reactor compensated transmission lines","09102009","","17122014","European Patent Office","2009000347","DDMMAAAA","","","Universidade Estadual de Campinas",13
"PRIVILEGIO_DE_INOVACAO_PI","PI08043302","Método Para Religamento Tripolar Rápido em Linhas De Transmissão Com Compensação Reativa Em Derivação","10102008","","","INPI - Instituto Nacional da Propriedade Industrial","2009000347","DDMMAAAA","09102009","","Universidade Estadual de Campinas",14
"PRIVILEGIO_DE_INOVACAO_PI","BR10201700472","Método Para Aumento Da Capacidade De Transmissão De Energia Elétrica Em Linhas Aéreas Mediante A Modificação Da Geometria Dos Feixes","09032017","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",15
"PRIVILEGIO_DE_INOVACAO_PI","2010/043014A1","METHOD FOR FAST THREE-PHASE RECLOSING OF SHUNT COMPENSATED TRANSMISSION LINES","22042010","","","WTO - World Trade Organization","2009000347","DDMMAAAA","22042010","","Universidade Estadual de Campinas",16
