NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",0,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",0,,,,,,,
"Edson José Nagle","Nagle, E. J.","3","0139748354817547",0,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",1,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",1,,,,,,,
"Edson José Nagle","Nagle, E. J.","3","0139748354817547",1,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",2,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",2,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",3,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",3,,,,,,,
"Leonelo Almeida","ALMEIDA, L. D. A.","1","4597216569899545",4,,,,,,,
"Elaine Hayashi","HAYASHI, E. C. S.","2","1500223026483516",4,,,,,,,
"Julio Cesar dos Reis","REIS, J. C.","3","2971609673131726",4,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","4","",4,,,,,,,
"Cecília Baranauskas","BARANAUSKAS, M. C. C.","5","1750385790843118",4,,,,,,,
"José Mario De Martino","De Martino, J. M.","6","8467650381711612",4,,,,,,,
"Carlos Giles","GILES, C.","1","",5,,,,,,,
"Paula Dornhofer Paro Costa","PARO, P.","2","",5,,,,,,,
"C. P. Rodrigues","RODRIGUES, C. P.","3","",5,,,,,,,
"Fabiano Yokaichiya","YOKAICHIYA, F.","4","",5,,,,,,,
"Iris L. Torriani","TORRIANI, I. L.","5","",5,,,,,,,
"Paula Dornhofer Paro Costa","PARO, P.","1","",6,,,,,,,
"Carlos Giles","GILES, C.","2","",6,,,,,,,
"Fabiano Yokaichiya","YOKAICHIYA, F.","3","",6,,,,,,,
"E. Tamura","TAMURA, E.","4","6744637678350831",6,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, PAULA D. PARO","1","",7,,,,,,,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","2","",7,,,,,,,
"DE FÁTIMA DE GOUVEIA, MARIA","DE FÁTIMA DE GOUVEIA, MARIA","3","",7,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, PAULA D. PARO","1","",8,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",8,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, PAULA D. PARO","1","",9,,,,,,,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","2","",9,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",10,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",10,,,,,,,
"Nadja Ramos","RAMOS, N.","1","",11,,,,,,,
"Carmen Freitas","FREITAS, C.","2","",11,,,,,,,
"Sandra Avila","AVILA, S.","3","",11,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","4","",11,,,,,,,
"Vanessa Testoni","TESTONI, V.","5","",11,,,,,,,
"Juliana Freitag Borin","BORIN, J. F.","6","",11,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",12,,,,,,,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","2","",12,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",13,,,,,,,
"Daniella Batista","BATISTA, D.","2","",13,,,,,,,
"Mayara Toffoli","TOFFOLI, M.","3","",13,,,,,,,
"Keila Alessandra Baraldi Knobel","KNOBEL, K. A. B.","4","",13,,,,,,,
"Cíntia Salgado Azoni","AZONI, C. S.","5","",13,,,,,,,
"José Mario De Martino","De Martino, J. M.","6","8467650381711612",13,,,,,,,
"Kate Mamhy Oliveira Kumada","KUMADA, K. M. O.","1","",14,,,,,,,
"Ivani Rodrigues Silva","SILVA, I. R.","2","",14,,,,,,,
"José Mario De Martino","MARTINO, J. M.","3","8467650381711612",14,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","4","",14,,,,,,,
"Luciana Aguero Rosa","ROSA, L. A.","5","",14,,,,,,,
"Ângelo B. Benetti","BENETTI, A. B.","6","",14,,,,,,,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","1","",15,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",15,,,,,,,
"Ângelo B. Benetti","BENETTI, A. B.","3","",15,,,,,,,
"Luciana Aguero Rosa","ROSA, L. A.","4","",15,,,,,,,
"Kate Mamhy Oliveira Kumada","KUMADA, K. M. O.","5","",15,,,,,,,
"Ivani Rodrigues Silva","SILVA, I. R.","6","",15,,,,,,,
"Francisco Aulísio dos Santos Paiva","PAIVA, F. A. S.","1","",16,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",16,,,,,,,
"José Mario De Martino","De Martino, J. M.","3","8467650381711612",16,,,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",17,,,,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",17,,,,,,,
"Maria de Fátima Gouveia","GOUVEIA, M. F.","3","8311937788693256",17,,,,,,,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","1","",,0,,,,,,
"POETA, ENZO TELLES","POETA, ENZO TELLES","10","",,0,,,,,,
"ANGARE, LEANDRO MARTIN GUERTZENSTEIN","ANGARE, LEANDRO MARTIN GUERTZENSTEIN","11","",,0,,,,,,
"FERREIRA, CAROLINA MONTEIRO","FERREIRA, CAROLINA MONTEIRO","12","",,0,,,,,,
"DE CONTI, DAVI FARIA","DE CONTI, DAVI FARIA","13","",,0,,,,,,
"SILVA, IVANI RODRIGUES","SILVA, IVANI RODRIGUES","2","",,0,,,,,,
"BOLOGNINI, CARMEN ZINK","BOLOGNINI, CARMEN ZINK","3","",,0,,,,,,
"Paula Dornhofer Paro Costa","COSTA, PAULA DORNHOFER PARO","4","",,0,,,,,,
"KUMADA, KATE MAMHY OLIVEIRA","KUMADA, KATE MAMHY OLIVEIRA","5","",,0,,,,,,
"CORADINE, LUIS CLÁUDIUS","CORADINE, LUIS CLÁUDIUS","6","",,0,,,,,,
"BRITO, PATRICK HENRIQUE DA SILVA","BRITO, PATRICK HENRIQUE DA SILVA","7","",,0,,,,,,
"DO AMARAL, WANESSA MACHADO","DO AMARAL, WANESSA MACHADO","8","",,0,,,,,,
"BENETTI, ÂNGELO BRANDÃO","BENETTI, ÂNGELO BRANDÃO","9","",,0,,,,,,
"José Mario De Martino","MARTINO, J. M.","1","8467650381711612",,,0,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,0,,,,,
"José Mario De Martino","MARTINO, J. M.","1","8467650381711612",,,,0,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,,0,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",,,,1,,,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",,,,1,,,,
"José Mario De Martino","De Martino, J. M.","1","8467650381711612",,,,,0,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,,,0,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",,,,,,0,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",,,,,,0,,
"Paula Dornhofer Paro Costa","COSTA, PAULA D. PARO","1","",,,,,,1,,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",,,,,,1,,
"Francisco Aulísio dos Santos Paiva","PAIVA, F. A. S.","1","",,,,,,2,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,,,,2,,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","3","",,,,,,2,,
"Leticia Rittner","RITTNER, L.","1","",,,,,,,0,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,,,,,0,
"Tiago Tavares","TAVARES, T.","3","",,,,,,,0,
"Leticia Rittner","RITTNER, L.","1","",,,,,,,1,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,,,,,1,
"Tiago Tavares","TAVARES, T.","3","",,,,,,,1,
"Angela Araújo","ARAUJO, A.","1","",,,,,,,,0
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,,,,,,0
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",,,,,,,,1
