CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","International Workshop on Telecommunications 2009 IWT 2009","São Paulo","2009","Proceedings of the International Workshop on Telecommunications 2009 IWT 2009","","","","235","241","","Inatel","Santa Rita do Sapucaí","",0
"NACIONAL","Infobrasil","Fortaleza","2008","Anais do I Congresso Tecnológico Infobrasil - Infobrasil 2008","","","","","","","","","",1
"INTERNACIONAL","ACM/SSPNET 2nd International Symposium on Facial Analysis and Animation","Edinburgh","2010","FAA '10 Proceedings of the ACM/SSPNET 2nd International Symposium on Facial Analysis and Animation","","","","","","","ACM","","",2
"INTERNACIONAL","23rd SIBGRAPI ? Conference on Graphics, Patterns and Images 2010 Workshop of Thesis and Dissertations","Gramado","2010","23rd SIBGRAPI ? Conference on Graphics, Patterns and Images 2010","","","","","","","","","",3
"INTERNACIONAL","13th International Conference on Enterprise Information Systems (ICEIS)","Beijing","2011","Proceedings of 13th International Conference on Enterprise Information Systems","4","","","225","234","","","","",4
"NACIONAL","XXII Encontro Nacional de Física da Matéria Condensada","São Lourenço","1999","Anais do XXII Encontro Nacional de Física da Matéria Condensada","","","","","","","","","",5
"NACIONAL","XXII Encontro Nacional de Física da Matéria Condensada","São Lourenço","1999","Anais do XXII Encontro Nacional de Física da Matéria Condensada","","","","","","","","","",6
"INTERNACIONAL","the 3rd Symposium","Vienna","2012","Proceedings of the 3rd Symposium on Facial Analysis and Animation - FAA &apos;12","","","","1","","9781450317931","ACM Press","New York","",7
"INTERNACIONAL","International Conference on Auditory-Visual Speech Processing (AVSP)","Annecy","2013","Proceedings of the International Conference on Auditory-Visual Speech Processing (AVSP)","","","","","","","","","",8
"INTERNACIONAL","9th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications","Lisbon","2014","Proceedings of the DCVISIGRAPP, 2014","1","","","20","24","","Scitepress","Lisbon","",9
"INTERNACIONAL","27th International Conference on Computer Animation and Social Agents (CASA 2014)","Houston","2014","Proceedings of the 27th International Conference on Computer Animation and Social Agents (CASA 2014)","","","","","","","","","",10
"NACIONAL","Workshop sobre Educação em Computação","Recife","2015","Anais do XXIII Workshop sobre Educação em Computação, 2015","","","","","","","","","",11
"INTERNACIONAL","The 1st Joint Conference on Facial Analysis, Animation and Audio-Visual Speech Processing","Viena","2015","Proceedings of The 1st Joint Conference on Facial Analysis, Animation and Audio-Visual Speech Processing","","","","","","","","","",12
"INTERNACIONAL","The 1st Joint Conference on Facial Analysis, Animation and Audio-Visual Speech Processing","Viena","2015","Proceedings of The 1st Joint Conference on Facial Analysis, Animation and Audio-Visual Speech Processing","","","","","","","","","",13
"NACIONAL","I Congresso Internacional de Educação Especial Inclusiva/XIII Jornada de Educação Especial","Marília","2016","Anais do I Congresso Internacional de Educação Especial Inclusiva/XIII Jornada de Educação Especial","","","","","","21774013","","","",14
"INTERNACIONAL","Workshop on Corpora and Tools for Processing Corpora","Tomar","2016","Proceedings of Workshop on Corpora and Tools for Processing Corpora","1","","","56","63","","","","",15
"INTERNACIONAL","Conference on Graphics, Patterns, Images (SIBGRAPI)","São José dos Campos","2016","CONFERENCE ON GRAPHICS, PATTERNS AND IMAGES, 29. (SIBGRAPI), 2016, São José dos Campos. Proceedings...","","","","","","","","","",16
"INTERNACIONAL","LatinDisplay 2012 IDRC 2012","São Paulo","2012","Proceedings of the LatinDisplay 2012 IDRC 2012","","","","","","","","","",17
