NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",0,,,
"Roberto de Alencar Lotufo","R.A., LOTUFO","1","",0,,,
"Alexandre Falcão","A. X., FALCÃO","2","",0,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",1,,,
"Leticia Rittner","RITTNER, L.","1","",1,,,
"Gerberth Adín Ramírez Rivera","Rivera, Gerberth","2","",1,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","4","",,0,,
"Roberto de Alencar Lotufo","R.A., LOTUFO","1","",,0,,
"Roberto Hirata Junior","R. Hirata Jr.","2","1647118503085126",,0,,
"Ricardo Jose Ferrari","R. J., Ferrari","3","",,0,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,0,
"DE MARTINO, JOSÉ MARIO","DE MARTINO, JOSÉ MARIO","1","",,,0,
"Léo Pini Magalhães","MAGALHAES, L. P.","2","",,,0,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","4","",,,1,
"Leticia Rittner","RITTNER, L.","1","",,,1,
"Roberto de Alencar Lotufo","R.A., LOTUFO","2","",,,1,
"Gabriella Castellano","CASTELLANO, G.","3","",,,1,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,2,
"José Mario De Martino","De Martino, J. M.","2","8467650381711612",,,2,
"Léo Pini Magalhães","MAGALHAES, L. P.","4","",,,2,
"Enzo Telles Poeta","Poeta, E. T.","1","",,,2,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,3,
"Roberto de Alencar Lotufo","R.A., LOTUFO","2","",,,3,
"Léo Pini Magalhães","MAGALHAES, L. P.","1","",,,3,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","4","",,,4,
"Tiago Tavares","TAVARES, T.","3","",,,4,
"Romis Attux","ATTUX, R.","1","",,,4,
"César José Bonjuani Pagan","PAGAN, C. J. B.","2","",,,4,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,5,
"Leticia Rittner","RITTNER, L.","1","",,,5,
"Eduardo Alves do Valle Junior","VALLE JUNIOR, E. A.","2","",,,5,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,6,
"Tiago Tavares","TAVARES, T.","1","",,,6,
"Lucia Helena Reily","REILY, L. H.","2","",,,6,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,7,
"Eric Rohmer","ROHMER, E.","1","",,,7,
"Heiko Horst Hornung","HORNUNG, H.","2","",,,7,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,8,
"Ivani Rodrigues Silva","SILVA, I. R.","1","",,,8,
"KUMADA, KATE MAMHY OLIVEIRA","KUMADA, KATE MAMHY OLIVEIRA","3","",,,8,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","2","",,,9,
"Gerberth Adín Ramírez Rivera","Rivera, Gerberth","1","",,,9,
"Anderson de Rezende Rocha","Rocha, Anderson","3","",,,9,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","3","",,,10,
"Roberto de Alencar Lotufo","R.A., LOTUFO","1","",,,10,
"Alexandre Falcão","A. X., FALCÃO","2","",,,10,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","1","",,,,0
"Tiago Tavares","TAVARES, T.","2","",,,,0
"Paula Dornhofer Paro Costa","COSTA, P. D. P.","5","",,,,1
"Isaias Vizotto","I. Vizotto","1","",,,,1
"Julio Soriano","J. Soriano","2","",,,,1
"Claudio Chrysostomo Werneck","Werneck, C. C.","3","",,,,1
"José Alves de Freitas Neto","FREITAS NETO, José Alves de","4","",,,,1
