NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-FEIRA_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-EXPOSICAO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",0,,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,0,,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,0,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,1,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,2,,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,,0,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,,1,,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,,,0,
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,,,,0
"Paula Dornhofer Paro Costa","COSTA, P. D. P.;PARO, P.;COSTA, P. D.;COSTA, P.;COSTA, PAULA D. PARO;COSTA, PAULA DORNHOFER PARO","1","4518009815956207",,,,,,1
